GameName,JSD_ludeme_ngram,LocalAlignment_ludeme,Jaccard_ludeme,LocalAlignment_moveConcept,JSD_moveCooncept_ngram,Cosine_ludeme,Cosine_moveConcept_TFIDF,RepeatedLocalAlignment_ludeme,ZhangShasha_ludeme,Cosine_booleanConcept,JSD_ludeme,Cosine_ludeme_ngram,GlobalAlignment_ludeme,Levenshtein_moveConcept,Cosine_moveCooncept_ngram,JSD_moveConcept,JSD_booleanConcept_TFIDF,GlobalAlignment_moveConcept,Jaccard_booleanConcept_TFIDF,Cosine_booleanConcept_TFIDF,Jaccard_ludeme_ngram,Levenshtein_ludeme,JSD_ludeme_TFIDF,Jaccard_booleanConcept,Jaccard_moveConcept,RepeatedLocalAlignment_moveConcept,Cosine_moveConcept,JSD_booleanConcept,JSD_moveConcept_TFIDF,Jaccard_ludeme_TFIDF,Jaccard_moveCooncept_ngram,Cosine_ludeme_TFIDF,Jaccard_moveConcept_TFIDF
/lud/board/race/escape/Royal Game of Ur.lud_Ruleset/Finkel (Scholarly),0.0,0.0,0.0,0.9505600617999228,0.7127815714508167,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.9382000772499034,0.9519887649768188,0.47509181248199694,NaN,1.1261490923136346,NaN,NaN,0.0,0.0,NaN,0.0,0.8613333434569184,0.9501738122827347,0.7351616108491288,0.0,NaN,NaN,0.9159152862235269,NaN,NaN
/lud/board/war/replacement/checkmate/chess/Chess.lud_,0.9685453604655873,0.9781481481481481,0.659633881476885,1.0,1.0000000000000002,0.27925894528679907,NaN,0.9285185185185185,0.47989276139410186,0.3816026728410865,0.32835952605368346,0.9741556561311374,1.088148148148148,1.0,1.0,1.0000000000000002,NaN,1.215063731170336,NaN,NaN,0.9901693195816527,0.8851851851851852,NaN,0.6815642458100555,1.0,1.0,1.0,0.389859529055016,NaN,NaN,1.0,NaN,Infinity
/lud/board/race/escape/Royal Game of Ur.lud_Ruleset/Murray (Suggested),0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,NaN,NaN
