GameName,JSD_moveConcept,JSD_ludeme_ngram,LocalAlignment_ludeme,Jaccard_ludeme,GlobalAlignment_moveConcept,LocalAlignment_moveConcept,JSD_moveCooncept_ngram,Jaccard_ludeme_ngram,Levenshtein_ludeme,Cosine_ludeme,RepeatedLocalAlignment_ludeme,ZhangShasha_ludeme,Jaccard_booleanConcept,Jaccard_moveConcept,RepeatedLocalAlignment_moveConcept,Cosine_booleanConcept,JSD_ludeme,Cosine_ludeme_ngram,Cosine_moveConcept,GlobalAlignment_ludeme,JSD_booleanConcept,Jaccard_moveCooncept_ngram,Levenshtein_moveConcept,Cosine_moveCooncept_ngram
/lud/board/race/escape/Royal Game of Ur.lud_Ruleset/Finkel (Scholarly),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313E-16,0.0,0.0,0.0,0.0,0.0,-2.220446049250313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313E-16
/lud/board/war/replacement/checkmate/chess/Chess.lud_,1.0000000000000002,0.9670035934817207,0.9814814814814815,0.630744849445325,1.3753846153846154,1.0,0.9999999999999999,0.9897956436283353,0.9,0.23733345234890502,0.9322222222222222,0.4772117962466488,0.6815642458100555,1.0,1.0,0.3816026728410865,0.32871406096164585,0.9670121122071932,1.0,1.0977777777777777,0.389859529055016,1.0,1.0,1.0
/lud/board/race/escape/Royal Game of Ur.lud_Ruleset/Murray (Suggested),0.47509181248199694,0.0,0.0,0.0,1.1261490923136346,0.9505600617999228,0.7127815714508167,0.0,0.0,2.220446049250313E-16,0.0,0.0,0.0,0.8613333434569184,0.9501738122827347,-2.220446049250313E-16,0.0,0.0,0.7351616108491288,0.0,0.0,0.9159152862235269,0.9382000772499034,0.9519887649768188
