GameName,Id,JSD_ludeme_ngram,JSD_booleanConcept_TFIDF,LocalAlignment_ludeme,Jaccard_ludeme,Jaccard_booleanConcept_TFIDF,Cosine_booleanConcept_TFIDF,Jaccard_ludeme_ngram,Levenshtein_ludeme,Cosine_ludeme,RepeatedLocalAlignment_ludeme,ZhangShasha_ludeme,JSD_ludeme_TFIDF,Jaccard_booleanConcept,Cosine_booleanConcept,JSD_ludeme,Cosine_ludeme_ngram,GlobalAlignment_ludeme,JSD_booleanConcept,Jaccard_ludeme_TFIDF,Apted_ludeme,Cosine_ludeme_TFIDF
/lud/board/hunt/Baghchal.lud_Ruleset/Baghachal (Observed),715,0.5074114187013059,0.12820931494338392,0.47959183673469385,0.3731939747924993,0.38062135711890155,0.22070177395542967,0.7123287671232873,0.4387755102040816,0.10801634147220518,0.47959183673469385,0.270935960591133,0.09719642523953023,0.25287356321838916,0.10883619220099194,0.1158550280441323,0.459505012548058,0.47959183673469385,0.10916960335897999,0.5260505001191202,0.270935960591133,0.3145491385670839
/lud/board/hunt/Baghchal.lud_Ruleset/Baghchal (Observed),38,0.5074114187013059,0.11907536558985897,0.47959183673469385,0.3731939747924993,0.36745469476967085,0.2079096380195813,0.7123287671232873,0.4387755102040816,0.10801634147220518,0.47959183673469385,0.270935960591133,0.09719642523953023,0.24999999999999867,0.1010209872827259,0.1158550280441323,0.459505012548058,0.47959183673469385,0.10147269466556817,0.5260505001191202,0.270935960591133,0.3145491385670839
/lud/board/hunt/Bagh Guti.lud_Ruleset/Murray (Suggested),634,0.38176784698366684,0.10506886524511319,0.61875,0.5026861533129228,0.35855773849922357,0.21785901159150567,0.6887894334679616,0.525,0.17832009606931742,0.61875,0.2537764350453172,0.1264681072056771,0.2580645161290299,0.08365806617696414,0.15488715370027065,0.4329148250525372,0.61875,0.08473718332789776,0.6604461698776694,0.2537764350453172,0.3385183697621801
/lud/board/hunt/Bagh Guti.lud_Ruleset/Karwi (Described),632,0.3707237910422452,0.11858040346806908,0.6208588957055214,0.502551888397414,0.36006960388839204,0.2311278409867461,0.6852448453608243,0.5153374233128835,0.17761239053878108,0.6208588957055214,0.2522255192878338,0.13315446352518437,0.24999999999999867,0.1010209872827259,0.15188948094258745,0.4237785886029021,0.6208588957055214,0.10147269466556817,0.6601460360077296,0.2522255192878338,0.33212153568735303
/lud/board/hunt/Bagh Guti.lud_Ruleset/Cyningstan (Suggested),635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/lud/board/hunt/Bagha Guti.lud_,910,0.4842240276899225,0.02613235951712285,0.3222222222222222,0.2561894510226058,0.1246664027439931,0.02768653574780766,0.6769230769230765,0.26666666666666666,0.061155348102241325,0.3222222222222222,0.19786096256684493,0.03397347581375102,0.10256410256410242,0.027402474840727775,0.058050520094567265,0.43743498086971,0.3222222222222222,0.027568648885114698,0.2731763934094673,0.19786096256684493,0.09665787022523109
/lud/board/hunt/Bagh Bandi.lud_,898,0.6790242136955401,0.200341981166143,0.8093023255813954,0.4790393013100437,0.5366485912811414,0.3835665018982113,0.8658289703315879,0.6744186046511628,0.14022129548748918,0.7562790697674419,0.35827664399092973,0.1724771644840369,0.41071428571428403,0.16381973726851196,0.1815685397527338,0.6239788734771787,0.8195348837209302,0.16648089719328557,0.6864666294167953,0.35827664399092973,0.37044396736879714
/lud/board/hunt/Bagh Batti.lud_,766,0.3244400167594791,0.07633657925418795,0.6,0.4859813084112149,0.2983520852924447,0.12368516983261613,0.6547243876817601,0.5,0.16848448728713616,0.6,0.2417910447761194,0.10211724725816537,0.2391304347826062,0.07037774829547083,0.13819131848214106,0.3934456575519166,0.6,0.07147250482540353,0.6146336493231916,0.2417910447761194,0.28552354146954595
