Lian Qi (A-Type) (Ludii 1),1241,0.9099111111111111,0.8787555555555555,0.9410666666666667,0.9234668737888515,{953, 953},[]
Lian Qi (A-Type) (Ludii 2),1241,0.8657694444444445,0.834613888888889,0.896925,0.8793252071221849,{1944, 953},[]
Lian Qi (A-Type) (Ludii 3),1241,0.858175,0.8270194444444445,0.8893305555555555,0.8717307626777404,{817, 953},[]
Lian Qi (A-Type) (Ludii 4),1241,0.8562333333333334,0.8250777777777778,0.8873888888888889,0.8697890960110737,{789, 953},[]
Lian Qi (A-Type) (Ludii 5),1241,0.8216277777777778,0.829663888888889,0.8135916666666667,0.6447497341196547,{1944, 1944},[]
Lian Qi (A-Type) (Ludii 6),1241,0.8140333333333334,0.8220694444444445,0.8059972222222223,0.6371552896752103,{817, 1944},[]
Lian Qi (A-Type) (Ludii 7),1241,0.8064388888888889,0.8207694444444444,0.7921083333333334,0.7254087973422106,{817, 817},[]
Lian Qi (A-Type) (Ludii 8),1241,0.8044972222222222,0.8188277777777777,0.7901666666666667,0.723467130675544,{789, 817},[]
Lian Qi (A-Type) (Ludii 9),1241,0.8044972222222222,0.7752194444444445,0.833775,0.7510824722911282,{817, 789},[]
Lian Qi (A-Type) (Ludii 10),1241,0.8025555555555556,0.7732777777777777,0.8318333333333334,0.7491408056244615,{789, 789},[]
