Reconstruction Ruleset,closest0,closest1,closest2,closest3,closest4,closest5,closest6,closest7,closest8,closest9,DurationTurns_Expected,DurationTurns_Current,DurationTurnsStdDev_Expected,DurationTurnsStdDev_Current,DurationTurnsNotTimeouts_Expected,DurationTurnsNotTimeouts_Current,DecisionMoves_Expected,DecisionMoves_Current,BoardCoverageDefault_Expected,BoardCoverageDefault_Current,AdvantageP1_Expected,AdvantageP1_Current,Balance_Expected,Balance_Current,Completion_Expected,Completion_Current,Timeouts_Expected,Timeouts_Current,Drawishness_Expected,Drawishness_Current,PieceNumberAverage_Expected,PieceNumberAverage_Current,BoardSitesOccupiedAverage_Expected,BoardSitesOccupiedAverage_Current,BranchingFactorAverage_Expected,BranchingFactorAverage_Current,DecisionFactorAverage_Expected,DecisionFactorAverage_Current
Li'b al-Sidr Ruleset/Li'b al-Sidr (Ludii 1) (Reconstructed),Nao Guti,Nerenchi Keliya,Five Men's Morris Ruleset/Murray (Suggested),Marelle Triple,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Triodi (Diagonal),Triodi,Nine Men's Morris,Mylna,La Chascona,424.3955555555556,92.53,610.3761111111112,348.3,145.24222222222224,43.4,0.9661111111111109,1.0,0.9283333333333333,0.84,0.6016666666666667,0.56,0.6744444444444445,0.88,0.8722222222222222,0.98,0.1266666666666667,0.02,0.1277777777777778,0.02,11.644444444444446,10.38,0.5166666666666667,0.43,10.279444444444444,11.06,10.617222222222225,11.08
Li'b al-Sidr Ruleset/Li'b al-Sidr (Ludii 2) (Reconstructed),Tsoro Yemutwelve,Triodi,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Nerenchi Keliya,Mlabalaba,Five Men's Morris Ruleset/Cyningstan (Suggested),Nao Guti,Nine Men's Morris,Mylna,La Chascona,544.126875,140.7,584.2325,482.7,253.4225,42.49,0.9687500000000001,0.99,0.91125,0.85,0.58375,0.61,0.705,0.78,0.81125,0.96,0.1875,0.04,0.18875,0.04,11.870625,10.28,0.513125,0.43,10.945625,10.65,11.271875,10.78
Li'b al-Sidr Ruleset/Li'b al-Sidr (Ludii 3) (Reconstructed),Nerenchi Keliya,Triodi,Marelle Triple,La Chascona,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Twelve Men's Morris Ruleset/Board Game Geek (Suggested),Nine Men's Morris,Mlabalaba,Five Men's Morris Ruleset/Cyningstan (Suggested),Mylna,573.5553333333332,581.1,601.8879999999998,1019.0,265.0806666666666,39.9,0.968,0.99,0.908,0.88,0.5820000000000001,0.57,0.7,0.86,0.7999999999999999,0.78,0.19933333333333333,0.22,0.2,0.22,11.795333333333332,9.86,0.5113333333333334,0.41,10.818666666666665,16.01,11.146000000000003,16.17
Li'b al-Sidr Ruleset/Li'b al-Sidr (Ludii 4) (Reconstructed),Triodi,Xonin Shatar (Simple),Mylna,Marelle Triple,Triodi (Diagonal),Nine Men's Morris,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Mlabalaba,Twelve Men's Morris Ruleset/Board Game Geek (Suggested),Nerenchi Keliya,303.44800000000004,740.9,550.5846666666665,1096.0,86.69666666666669,90.34,0.9640000000000001,1.0,0.9093333333333334,0.93,0.6246666666666667,0.58,0.652,0.83,0.9079999999999999,0.73,0.09066666666666666,0.27,0.092,0.27,12.165333333333333,10.79,0.4973333333333334,0.45,11.635333333333334,19.73,12.006666666666666,19.74
Li'b al-Sidr Ruleset/Li'b al-Sidr (Ludii 5) (Reconstructed),Xonin Shatar (Simple),Achi Ruleset/Murray (Described),Fettas,Mulabalaba,Five Men's Morris Ruleset/Cyningstan (Suggested),Triodi,Five Men's Morris Ruleset/Murray (Suggested),Nine Men's Morris,Nerenchi Keliya,Triodi (Diagonal),592.5559999999999,161.4,605.5885000000001,536.5,271.3179999999999,38.34,0.9695,1.0,0.931,0.87,0.5845,0.56,0.6930000000000001,0.87,0.8030000000000002,0.95,0.196,0.05,0.19699999999999998,0.05,11.5355,10.55,0.531,0.44,9.774000000000003,11.11,10.078,11.11
Li'b al-Sidr Ruleset/Li'b al-Sidr (Ludii 6) (Reconstructed),Nine Men's Morris,Mylna,Tule Paid,Tsoro Yemutwelve,Triodi,Marelle Triple,Mlabalaba,Five Men's Morris Ruleset/Cyningstan (Suggested),Triodi (Diagonal),Twelve Men's Morris Ruleset/With Diagonal (Suggested),538.9442857142857,278.5,501.7978571428571,707.1,253.75428571428571,58.88,0.9721428571428572,0.98,0.9142857142857144,0.98,0.607857142857143,0.69,0.6435714285714286,0.63,0.8049999999999999,0.91,0.19357142857142856,0.09,0.195,0.09,11.838571428571429,13.19,0.5142857142857143,0.55,11.165000000000003,11.62,11.45,11.79
Li'b al-Sidr Ruleset/Li'b al-Sidr (Ludii 7) (Reconstructed),Six Men's Morris Ruleset/Cyningstan (Suggested),Triodi,Tsoro Yemutwelve,Nao Guti,Xonin Shatar (Simple),Twelve Men's Morris Ruleset/With Diagonal (Suggested),Triodi (Diagonal),Nerenchi Keliya,Achi Ruleset/Murray (Described),Mlabalaba,554.0737499999999,116.5,566.129375,440.0,310.20875,42.84,0.975,1.0,0.9381250000000001,0.68,0.6362500000000001,0.48,0.6775000000000002,0.97,0.8225,0.97,0.17625,0.03,0.17750000000000002,0.03,11.594375,7.8,0.5343749999999999,0.33,9.920000000000002,11.7,10.171875,11.7
Li'b al-Sidr Ruleset/Li'b al-Sidr (Ludii 8) (Reconstructed),Six Men's Morris Ruleset/Cyningstan (Suggested),Tule Paid,Mlabalaba,Five Men's Morris Ruleset/Cyningstan (Suggested),Twelve Men's Morris Ruleset/Board Game Geek (Suggested),Nine Men's Morris,Marelle Triple,Triodi,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Xonin Shatar (Simple),515.5129411764707,720.2,551.9864705882353,1086.0,241.90882352941176,61.92,0.9682352941176471,0.99,0.9147058823529413,0.91,0.6017647058823529,0.57,0.676470588235294,0.85,0.8223529411764706,0.73,0.1764705882352941,0.27,0.17764705882352938,0.27,11.975882352941177,9.96,0.5164705882352941,0.41,10.881176470588233,17.06,11.208823529411765,17.16
Li'b al-Sidr Ruleset/Li'b al-Sidr (Ludii 9) (Reconstructed),Tule Paid,Nao Guti,Triodi (Diagonal),Xonin Shatar (Simple),Nerenchi Keliya,Marelle Triple,Nine Men's Morris,Twelve Men's Morris Ruleset/With Diagonal (Suggested),La Chascona,Achi Ruleset/Murray (Described),430.995,867.3,598.254375,1127.0,158.705625,99.07,0.9668750000000002,1.0,0.9256250000000001,0.95,0.5981250000000001,0.47,0.666875,0.94,0.873125,0.68,0.12562500000000001,0.32,0.12687500000000002,0.32,11.730625000000002,11.19,0.51375,0.47,10.582500000000001,20.37,10.918125,20.39
Li'b al-Sidr Ruleset/Li'b al-Sidr (Ludii 10) (Reconstructed),Twelve Men's Morris Ruleset/With Diagonal (Suggested),Nine Men's Morris,Mlabalaba,Xonin Shatar (Simple),Tsoro Yemutwelve,Marelle Triple,Five Men's Morris Ruleset/Cyningstan (Suggested),Triodi (Diagonal),Triodi,Tule Paid,558.22,221.1,554.6335714285714,626.3,255.59500000000003,49.61,0.9742857142857143,0.98,0.9157142857142858,0.97,0.6264285714285714,0.69,0.6807142857142858,0.61,0.7978571428571428,0.93,0.2007142857142857,0.07,0.20214285714285715,0.07,11.877142857142857,13.48,0.5157142857142858,0.56,11.07642857142857,10.94,11.33642857142857,11.17
Lian Qi (A-Type) Ruleset/Lian Qi (A-Type) (Ludii 1) (Reconstructed),Sam K'i,Mlabalaba,Mylna,Dig Dig,Niranchy,Xonin Shatar (Simple),Mulabalaba,Nine Men's Morris,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Shah,433.8793333333333,188.6,573.4746666666667,584.0,152.53333333333333,41.11,0.9586666666666669,0.94,0.9013333333333334,0.99,0.5866666666666668,0.57,0.5793333333333333,0.86,0.866,0.94,0.13266666666666668,0.06,0.134,0.06,12.036,15.26,0.4926666666666667,0.61,11.719333333333333,10.01,12.111333333333333,10.62
Lian Qi (A-Type) Ruleset/Lian Qi (A-Type) (Ludii 2) (Reconstructed),Nine Men's Morris,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Nerenchi Keliya,Mlabalaba,Xonin Shatar (Simple),Dig Dig,Mulabalaba,Sam K'i,Shah,Twelve Men's Morris Ruleset/Board Game Geek (Suggested),424.9464705882353,189.6,600.6482352941176,583.8,142.35705882352943,42.15,0.9623529411764705,0.95,0.8941176470588236,0.99,0.5835294117647059,0.53,0.6147058823529411,0.94,0.8676470588235295,0.94,0.13117647058823528,0.06,0.1323529411764706,0.06,12.124117647058823,15.31,0.4888235294117647,0.62,11.905882352941175,9.82,12.270588235294115,10.33
Lian Qi (A-Type) Ruleset/Lian Qi (A-Type) (Ludii 3) (Reconstructed),Nerenchi Keliya,Dig Dig,Shah,Twelve Men's Morris Ruleset/Board Game Geek (Suggested),Mylna,Mlabalaba,Xonin Shatar (Simple),Sam K'i,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Nine Men's Morris,424.94647058823534,165.6,600.6482352941176,535.6,142.35705882352943,42.75,0.9623529411764705,0.94,0.8941176470588238,0.99,0.5835294117647059,0.52,0.6147058823529412,0.97,0.8676470588235295,0.95,0.1311764705882353,0.05,0.13235294117647062,0.05,12.124117647058824,14.98,0.48882352941176466,0.6,11.905882352941175,10.26,12.270588235294117,10.86
Lian Qi (A-Type) Ruleset/Lian Qi (A-Type) (Ludii 4) (Reconstructed),Nine Men's Morris,Shah,Mlabalaba,Tule Paid,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Sam K'i,Dig Dig,Xonin Shatar (Simple),Niranchy,Nerenchi Keliya,433.87933333333336,74.2,573.4746666666666,247.6,152.53333333333333,49.7,0.9586666666666666,0.94,0.9013333333333333,1.0,0.5866666666666668,0.58,0.5793333333333334,0.83,0.866,0.99,0.13266666666666668,0.01,0.134,0.01,12.036,15.12,0.49266666666666664,0.61,11.719333333333333,10.03,12.111333333333334,10.61
Lian Qi (A-Type) Ruleset/Lian Qi (A-Type) (Ludii 5) (Reconstructed),Nao Guti,Tsoro Yemutwelve,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Five Men's Morris Ruleset/Cyningstan (Suggested),Nerenchi Keliya,La Chascona,Nine Men's Morris,Mylna,Triodi,Triodi (Diagonal),544.126875,145.0,584.2325000000001,484.7,253.4225,46.89,0.96875,0.99,0.9112500000000002,0.87,0.58375,0.61,0.7050000000000001,0.78,0.81125,0.96,0.18749999999999997,0.04,0.18874999999999997,0.04,11.870624999999999,10.52,0.5131250000000002,0.44,10.945625000000001,10.78,11.271875,10.9
Lian Qi (A-Type) Ruleset/Lian Qi (A-Type) (Ludii 6) (Reconstructed),Xonin Shatar (Simple),La Chascona,Triodi (Diagonal),Nine Men's Morris,Triodi,Mylna,Five Men's Morris Ruleset/Cyningstan (Suggested),Tule Paid,Nao Guti,Nerenchi Keliya,515.5129411764706,133.9,551.9864705882352,451.0,241.90882352941176,60.78,0.9682352941176469,0.99,0.9147058823529411,0.86,0.601764705882353,0.64,0.6764705882352942,0.73,0.8223529411764705,0.97,0.17647058823529413,0.03,0.1776470588235294,0.03,11.975882352941179,10.23,0.5164705882352941,0.43,10.881176470588233,10.74,11.208823529411767,10.84
Lian Qi (A-Type) Ruleset/Lian Qi (A-Type) (Ludii 7) (Reconstructed),Marelle Triple,La Chascona,Triodi (Diagonal),Nao Guti,Tule Paid,Nerenchi Keliya,Xonin Shatar (Simple),Five Men's Morris Ruleset/Cyningstan (Suggested),Nine Men's Morris,Mylna,553.1484210526315,128.4,608.5668421052632,436.2,249.94315789473686,55.14,0.9710526315789473,0.99,0.9189473684210525,0.87,0.5968421052631578,0.65,0.6773684210526315,0.71,0.8142105263157894,0.97,0.18473684210526314,0.03,0.1857894736842105,0.03,11.633684210526315,10.44,0.5194736842105264,0.44,10.41263157894737,10.81,10.708947368421052,10.92
Lian Qi (A-Type) Ruleset/Lian Qi (A-Type) (Ludii 8) (Reconstructed),Tule Paid,Xonin Shatar (Simple),Nerenchi Keliya,Marelle Triple,Nao Guti,Mylna,Five Men's Morris Ruleset/Murray (Suggested),Triodi (Diagonal),Five Men's Morris Ruleset/Cyningstan (Suggested),Nine Men's Morris,601.9418181818181,236.5,656.8395454545455,667.6,253.7931818181818,39.77,0.9722727272727272,0.99,0.9290909090909092,0.86,0.5963636363636362,0.67,0.6822727272727273,0.66,0.7977272727272727,0.92,0.20136363636363636,0.08,0.20227272727272727,0.08,11.717272727272729,10.41,0.5213636363636365,0.43,10.145454545454545,10.68,10.430454545454547,10.75
Lian Qi (A-Type) Ruleset/Lian Qi (A-Type) (Ludii 9) (Reconstructed),Niranchy,Xonin Shatar (Simple),Twelve Men's Morris Ruleset/With Diagonal (Suggested),Tule Paid,Nerenchi Keliya,Six Men's Morris Ruleset/Cyningstan (Suggested),Shah,Sam K'i,La Chascona,Mlabalaba,533.2178571428572,2500.0,502.0585714285713,0.0,331.7214285714286,2500.0,0.9692857142857143,0.92,0.9149999999999999,1.0,0.6021428571428572,0.5,0.6307142857142857,1.0,0.8264285714285714,0.0,0.17214285714285715,1.0,0.17357142857142857,1.0,12.224285714285713,11.55,0.5178571428571429,0.48,10.670714285714284,12.75,10.96142857142857,14.42
Lian Qi (A-Type) Ruleset/Lian Qi (A-Type) (Ludii 10) (Reconstructed),Triodi (Diagonal),Six Men's Morris Ruleset/Cyningstan (Suggested),La Chascona,Shah,Nerenchi Keliya,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Sam K'i,Tule Paid,Mlabalaba,Xonin Shatar (Simple),533.217857142857,2500.0,502.0585714285713,0.0,331.72142857142853,2500.0,0.9692857142857143,0.86,0.915,1.0,0.6021428571428572,0.5,0.6307142857142857,1.0,0.8264285714285716,0.0,0.17214285714285713,1.0,0.17357142857142854,1.0,12.224285714285715,12.03,0.5178571428571429,0.5,10.670714285714284,12.99,10.961428571428574,15.5
Lian Qi (Bohai) Ruleset/Lian Qi (Bohai) (Ludii 1) (Reconstructed),Marelle Triple,Triodi,Nine Men's Morris,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Five Men's Morris Ruleset/Cyningstan (Suggested),Triodi (Diagonal),Nerenchi Keliya,Six Men's Morris Ruleset/Cyningstan (Suggested),Nao Guti,Tule Paid,699.5458823529412,18.86,699.0394117647057,3.88,310.23352941176466,18.86,0.9741176470588234,0.84,0.92,1.0,0.6011764705882353,0.5,0.6970588235294117,1.0,0.7641176470588236,0.02,0.23529411764705882,0.0,0.23588235294117646,0.98,11.427647058823528,8.88,0.5270588235294118,0.55,10.01294117647059,7.61,10.270588235294118,8.87
Lian Qi (Bohai) Ruleset/Lian Qi (Bohai) (Ludii 2) (Reconstructed),Achi Ruleset/Murray (Described),Morabaraba,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Mylna,Six Men's Morris Ruleset/Cyningstan (Suggested),Triodi,Triodi (Diagonal),Nerenchi Keliya,Five Men's Morris Ruleset/Cyningstan (Suggested),Nine Men's Morris,599.7004999999999,19.17,601.577,1.03,271.2165,19.17,0.9760000000000002,0.84,0.9225000000000001,1.0,0.5715,0.5,0.7010000000000001,1.0,0.8,0.0,0.199,0.0,0.19999999999999998,1.0,11.652,9.05,0.5275,0.57,10.235499999999998,7.4,10.4845,8.6
Lian Qi (Bohai) Ruleset/Lian Qi (Bohai) (Ludii 3) (Reconstructed),Nao Guti,Mylna,Five Men's Morris Ruleset/Murray (Suggested),Triodi (Diagonal),Twelve Men's Morris Ruleset/With Diagonal (Suggested),Six Men's Morris Ruleset/Cyningstan (Suggested),Nerenchi Keliya,Triodi,Nine Men's Morris,Five Men's Morris Ruleset/Cyningstan (Suggested),698.1076470588235,19.11,697.4188235294117,4.27,308.7952941176471,19.11,0.9741176470588236,0.84,0.9147058823529413,1.0,0.5629411764705884,0.52,0.7123529411764706,0.97,0.7641176470588236,0.03,0.2352941176470588,0.0,0.23588235294117646,0.97,11.298235294117648,8.88,0.521764705882353,0.55,10.079999999999998,7.59,10.34470588235294,8.83
Lian Qi (Bohai) Ruleset/Lian Qi (Bohai) (Ludii 4) (Reconstructed),Marelle Triple,Nine Men's Morris,Six Men's Morris Ruleset/Murray (Suggested),Achi Ruleset/Murray (Described),Twelve Men's Morris Ruleset/With Diagonal (Suggested),La Chascona,Triodi,Five Men's Morris Ruleset/Cyningstan (Suggested),Six Men's Morris Ruleset/Cyningstan (Suggested),Triodi (Diagonal),749.4419999999999,18.06,692.8680000000002,2.06,340.5986666666667,18.06,0.9779999999999999,0.92,0.9233333333333335,1.0,0.5473333333333333,0.26,0.7219999999999999,0.52,0.746,1.0,0.25333333333333335,0.0,0.25400000000000006,0.0,11.118666666666666,8.6,0.5306666666666667,0.54,9.676,7.83,9.895999999999999,8.39
Lian Qi (Bohai) Ruleset/Lian Qi (Bohai) (Ludii 5) (Reconstructed),Mylna,Triodi,Nerenchi Keliya,Six Men's Morris Ruleset/Cyningstan (Suggested),Triodi (Diagonal),Morabaraba,Five Men's Morris Ruleset/Cyningstan (Suggested),Achi Ruleset/Murray (Described),Nine Men's Morris,Twelve Men's Morris Ruleset/With Diagonal (Suggested),599.7005,19.11,601.5770000000001,0.86,271.21650000000005,19.11,0.976,0.84,0.9225,1.0,0.5714999999999999,0.5,0.7010000000000001,1.0,0.8,0.0,0.199,0.0,0.2,1.0,11.652000000000001,9.04,0.5275,0.57,10.235500000000002,7.42,10.484500000000002,8.62
Lian Qi (Bohai) Ruleset/Lian Qi (Bohai) (Ludii 6) (Reconstructed),Twelve Men's Morris Ruleset/With Diagonal (Suggested),Five Men's Morris Ruleset/Murray (Suggested),Marelle Triple,Mlabalaba,Nerenchi Keliya,Triodi (Diagonal),Triodi,Six Men's Morris Ruleset/Murray (Suggested),Six Men's Morris Ruleset/Cyningstan (Suggested),Five Men's Morris Ruleset/Cyningstan (Suggested),751.0778571428572,1956.0,695.9442857142857,1024.0,363.7485714285714,28.05,0.9871428571428572,1.0,0.9207142857142857,0.98,0.5978571428571428,0.54,0.7071428571428573,0.92,0.7485714285714284,0.22,0.2507142857142857,0.78,0.25142857142857145,0.78,11.152857142857142,10.95,0.5264285714285715,0.68,10.045714285714284,5.62,10.182857142857141,5.63
Lian Qi (Bohai) Ruleset/Lian Qi (Bohai) (Ludii 7) (Reconstructed),Tule Paid,Nao Guti,Six Men's Morris Ruleset/Cyningstan (Suggested),Twelve Men's Morris Ruleset/With Diagonal (Suggested),Nerenchi Keliya,Nine Men's Morris,Morabaraba,Mlabalaba,Five Men's Morris Ruleset/Murray (Suggested),Five Men's Morris Ruleset/Cyningstan (Suggested),581.3052380952381,43.94,601.6161904761905,246.8,261.5147619047619,19.13,0.9723809523809523,0.84,0.9223809523809524,1.0,0.5795238095238096,0.49,0.6923809523809524,0.98,0.8066666666666668,0.02,0.19238095238095235,0.01,0.1933333333333333,0.98,11.655238095238095,8.88,0.5257142857142858,0.56,10.193809523809525,7.65,10.47857142857143,8.87
Lian Qi (Bohai) Ruleset/Lian Qi (Bohai) (Ludii 8) (Reconstructed),Six Men's Morris Ruleset/Murray (Suggested),Triodi (Diagonal),Achi Ruleset/Murray (Described),Triodi,La Chascona,Marelle Triple,Nine Men's Morris,Five Men's Morris Ruleset/Cyningstan (Suggested),Six Men's Morris Ruleset/Cyningstan (Suggested),Nerenchi Keliya,879.7275,18.42,710.6516666666666,2.72,411.36499999999995,18.42,0.9783333333333335,0.93,0.9133333333333334,1.0,0.5025000000000001,0.2,0.7658333333333335,0.4,0.7008333333333333,1.0,0.2991666666666667,0.0,0.2991666666666667,0.0,10.735,8.65,0.5308333333333333,0.54,9.182500000000001,7.74,9.400833333333333,8.26
Lian Qi (Bohai) Ruleset/Lian Qi (Bohai) (Ludii 9) (Reconstructed),Nerenchi Keliya,Six Men's Morris Ruleset/Cyningstan (Suggested),Five Men's Morris Ruleset/Cyningstan (Suggested),Achi Ruleset/Murray (Described),Twelve Men's Morris Ruleset/With Diagonal (Suggested),Marelle Triple,Mlabalaba,Triodi,Triodi (Diagonal),Five Men's Morris Ruleset/Murray (Suggested),610.5544444444444,1907.0,613.5427777777778,1055.0,297.13333333333327,29.21,0.977222222222222,1.0,0.9277777777777777,0.99,0.6199999999999998,0.51,0.6844444444444444,0.98,0.798888888888889,0.24,0.20000000000000004,0.76,0.20111111111111113,0.76,11.567777777777778,11.0,0.53,0.69,10.088333333333333,5.61,10.323333333333336,5.61
Lian Qi (Bohai) Ruleset/Lian Qi (Bohai) (Ludii 10) (Reconstructed),Twelve Men's Morris Ruleset/With Diagonal (Suggested),Marelle Triple,Nine Men's Morris,Five Men's Morris Ruleset/Cyningstan (Suggested),Triodi,Six Men's Morris Ruleset/Cyningstan (Suggested),Nerenchi Keliya,Mylna,Mlabalaba,Tule Paid,608.141,17.36,631.4885,0.54,272.36099999999993,17.36,0.9724999999999998,0.83,0.922,1.0,0.5880000000000001,0.5,0.686,1.0,0.7969999999999999,0.0,0.202,0.0,0.20299999999999999,1.0,11.529,8.85,0.5235,0.55,10.172500000000003,7.66,10.454000000000002,9.0
Nzengue (Large) Ruleset/Nzengue (Large) (Ludii 1) (Reconstructed),Tule Paid,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Xonin Shatar (Complex),Nine Men's Morris,Five Men's Morris Ruleset/Cyningstan (Suggested),Achi Ruleset/Murray (Described),Six Men's Morris Ruleset/Cyningstan (Suggested),Nerenchi Keliya,Nao Guti,Mlabalaba,537.2560869565217,19.02,564.464347826087,0.84,243.1473913043478,19.02,0.9704347826086956,0.84,0.9260869565217391,1.0,0.5921739130434783,0.5,0.68,1.0,0.8226086956521739,0.0,0.17652173913043476,0.0,0.1773913043478261,1.0,11.800434782608693,9.05,0.5282608695652175,0.57,10.144782608695653,7.43,10.444347826086956,8.64
Nzengue (Large) Ruleset/Nzengue (Large) (Ludii 2) (Reconstructed),Mlabalaba,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Xonin Shatar (Complex),Six Men's Morris Ruleset/Cyningstan (Suggested),Nerenchi Keliya,Marelle Triple,Morabaraba,Nine Men's Morris,Triodi,Five Men's Morris Ruleset/Cyningstan (Suggested),537.2560869565218,19.13,564.464347826087,1.12,243.14739130434788,19.13,0.9704347826086956,0.84,0.9260869565217391,1.0,0.5921739130434781,0.5,0.68,1.0,0.8226086956521739,0.0,0.1765217391304348,0.0,0.1773913043478261,1.0,11.800434782608693,9.01,0.5282608695652175,0.56,10.14478260869565,7.41,10.444347826086956,8.62
Nzengue (Large) Ruleset/Nzengue (Large) (Ludii 3) (Reconstructed),Nine Men's Morris,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Mlabalaba,Nerenchi Keliya,Mulabalaba,Six Men's Morris Ruleset/Cyningstan (Suggested),Triodi,Triodi (Diagonal),Fettas,Twelve Men's Morris Ruleset/Board Game Geek (Suggested),420.7541176470589,248.8,505.96882352941174,655.3,226.6264705882353,79.45,0.9641176470588235,0.91,0.9176470588235296,0.99,0.6129411764705881,0.54,0.6870588235294117,0.93,0.8588235294117648,0.79,0.13999999999999999,0.07,0.1411764705882353,0.21,12.244117647058822,14.73,0.5164705882352942,0.61,11.050588235294118,8.61,11.416470588235295,9.38
Nzengue (Large) Ruleset/Nzengue (Large) (Ludii 4) (Reconstructed),Mulabalaba,Triodi,Triodi (Diagonal),Mlabalaba,Six Men's Morris Ruleset/Cyningstan (Suggested),Tule Paid,Nine Men's Morris,Xonin Shatar (Simple),Twelve Men's Morris Ruleset/With Diagonal (Suggested),Nerenchi Keliya,495.03,110.5,559.485625,361.8,273.375,61.73,0.9650000000000001,0.97,0.924375,0.97,0.63,0.57,0.6874999999999999,0.86,0.84,0.98,0.15874999999999997,0.02,0.16,0.02,12.120624999999999,13.26,0.52375,0.55,10.822500000000002,9.48,11.174375000000001,9.72
Nzengue (Large) Ruleset/Nzengue (Large) (Ludii 5) (Reconstructed),Mylna,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Marelle Triple,Nine Men's Morris,Five Men's Morris Ruleset/Cyningstan (Suggested),Achi Ruleset/Murray (Described),Six Men's Morris Ruleset/Cyningstan (Suggested),Nerenchi Keliya,Nao Guti,Xonin Shatar (Complex),537.2560869565216,19.11,564.4643478260871,1.04,243.14739130434785,19.11,0.9704347826086955,0.84,0.9260869565217391,1.0,0.5921739130434782,0.5,0.68,1.0,0.8226086956521739,0.0,0.17652173913043476,0.0,0.1773913043478261,1.0,11.800434782608697,9.04,0.5282608695652175,0.57,10.144782608695653,7.41,10.444347826086958,8.65
Nzengue (Large) Ruleset/Nzengue (Large) (Ludii 6) (Reconstructed),Mlabalaba,Nine Men's Morris,Triodi,Mylna,Six Men's Morris Ruleset/Cyningstan (Suggested),Twelve Men's Morris Ruleset/With Diagonal (Suggested),Mulabalaba,Triodi (Diagonal),Nerenchi Keliya,Tule Paid,421.25125,108.4,483.79812499999997,357.4,236.224375,59.64,0.9625,0.89,0.9262500000000002,0.97,0.6125,0.54,0.6825000000000001,0.92,0.85875,0.82,0.13999999999999999,0.02,0.14125,0.18,12.161249999999999,14.33,0.5225000000000001,0.6,10.687499999999998,8.85,11.063749999999999,9.8
Nzengue (Large) Ruleset/Nzengue (Large) (Ludii 7) (Reconstructed),Tsoro Yemutwelve,Triodi,Nerenchi Keliya,Mlabalaba,Marelle Triple,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Nine Men's Morris,Mulabalaba,Fettas,Tule Paid,500.51199999999994,244.0,539.4046666666667,665.2,286.7293333333334,47.86,0.9633333333333333,0.96,0.934,0.97,0.6306666666666666,0.55,0.6826666666666666,0.9,0.8386666666666668,0.92,0.16,0.08,0.16133333333333333,0.08,12.024,13.93,0.5306666666666667,0.58,10.42,9.17,10.782000000000002,9.51
Nzengue (Large) Ruleset/Nzengue (Large) (Ludii 8) (Reconstructed),Mylna,Mlabalaba,Nerenchi Keliya,Morabaraba,Five Men's Morris Ruleset/Cyningstan (Suggested),Six Men's Morris Ruleset/Cyningstan (Suggested),Nine Men's Morris,Triodi,Nao Guti,Triodi (Diagonal),537.2560869565218,95.98,564.4643478260871,343.6,243.1473913043478,46.92,0.9704347826086955,0.91,0.9260869565217393,0.98,0.5921739130434782,0.52,0.6799999999999999,0.97,0.8226086956521739,0.85,0.17652173913043476,0.02,0.1773913043478261,0.15,11.800434782608693,14.36,0.5282608695652175,0.6,10.144782608695651,8.9,10.444347826086956,9.62
Nzengue (Large) Ruleset/Nzengue (Large) (Ludii 9) (Reconstructed),Nine Men's Morris,Triodi (Diagonal),Nerenchi Keliya,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Mlabalaba,Six Men's Morris Ruleset/Cyningstan (Suggested),Tule Paid,Triodi,Tsoro Yemutwelve,Marelle Triple,406.0406249999999,160.8,437.1425,500.4,236.26937500000003,63.34,0.9618750000000001,0.98,0.9337500000000002,0.97,0.6481250000000001,0.59,0.65375,0.82,0.865,0.96,0.13375,0.04,0.135,0.04,12.390625,13.4,0.5306250000000001,0.56,10.703125,9.52,11.080625,9.72
Nzengue (Large) Ruleset/Nzengue (Large) (Ludii 10) (Reconstructed),Nerenchi Keliya,Triodi (Diagonal),Marelle Triple,Triodi,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Mulabalaba,Tule Paid,Mlabalaba,Tsoro Yemutwelve,Nine Men's Morris,333.4983333333334,151.2,574.9725,481.3,95.06,53.38,0.9675000000000001,0.98,0.9116666666666666,0.97,0.6575,0.72,0.6483333333333333,0.56,0.8983333333333333,0.96,0.10000000000000002,0.04,0.10166666666666668,0.04,12.275,13.19,0.4991666666666667,0.55,12.035833333333334,10.55,12.3675,10.77
