Reconstruction Ruleset,closest0,closest1,closest2,closest3,closest4,closest5,closest6,closest7,closest8,closest9,DurationTurns_Expected,DurationTurns_Current,DurationTurnsStdDev_Expected,DurationTurnsStdDev_Current,DurationTurnsNotTimeouts_Expected,DurationTurnsNotTimeouts_Current,DecisionMoves_Expected,DecisionMoves_Current,BoardCoverageDefault_Expected,BoardCoverageDefault_Current,AdvantageP1_Expected,AdvantageP1_Current,Balance_Expected,Balance_Current,Completion_Expected,Completion_Current,Timeouts_Expected,Timeouts_Current,Drawishness_Expected,Drawishness_Current,PieceNumberAverage_Expected,PieceNumberAverage_Current,BoardSitesOccupiedAverage_Expected,BoardSitesOccupiedAverage_Current,BranchingFactorAverage_Expected,BranchingFactorAverage_Current,DecisionFactorAverage_Expected,DecisionFactorAverage_Current
Samantsy Ruleset/Samantsy (Ludii 7) (Reconstructed),Shatranj,Mak Ruk,Persian Chess with a Queen,Chatur,Hindustani Chess,Main Chator,Shodra,Chandaraki,Shatren,Lombard Chess,1056.7613793103449,866.2,831.3275862068965,939.0,351.99586206896555,457.7,0.9755172413793101,1.0,0.8479310344827586,0.88,0.4813793103448276,0.5,0.7355172413793103,1.0,0.6189655172413793,0.0,0.37275862068965515,0.2,0.38103448275862073,1.0,19.468275862068968,8.19,0.3041379310344828,0.13,22.382758620689657,25.67,23.035862068965525,25.67
Samantsy Ruleset/Samantsy (Ludii 8) (Reconstructed),Acedrex (Alfonso),Hindustani Chess,Skirmish (GDL),Saxun,Main Chator,Safe Passage,Persian Chess with a Queen,Shodra,Breakthrough Chess,Shatren,1075.4770588235294,362.6,626.344705882353,751.9,542.1188235294119,176.7,0.9505882352941176,1.0,0.843529411764706,0.86,0.47882352941176476,0.5,0.7382352941176471,1.0,0.5947058823529412,0.0,0.3952941176470588,0.08,0.4052941176470588,1.0,21.01529411764706,14.81,0.3288235294117647,0.23,21.78529411764706,26.66,22.966470588235296,26.66
Samantsy Ruleset/Samantsy (Ludii 9) (Reconstructed),Skirmish (GDL),Shodra,Safe Passage,Shatranj Diwana Shah,Breakback,Shatren,Chandaraki,Saxun,Persian Chess with a Queen,Shatr ikh Padan,1059.0175,2500.0,703.7365000000001,0.0,549.5029999999999,2500.0,0.953,1.0,0.857,0.98,0.484,0.5,0.7275,1.0,0.6180000000000001,0.0,0.3785,1.0,0.38149999999999995,1.0,19.277,6.93,0.3015,0.11,21.5295,32.12,22.668000000000003,32.12
Samantsy Ruleset/Samantsy (Ludii 10) (Reconstructed),Shatranj (Iraq),Main Chator,Persian Chess with a Queen,Forcado,Hindustani Chess,Safe Passage,Shodra,Skirmish (GDL),Shatr ikh Padan,Breakthrough Chess,1203.6795454545454,2500.0,642.0740909090908,0.0,595.48,2500.0,0.9559090909090908,1.0,0.815,0.97,0.48363636363636364,0.5,0.7445454545454545,1.0,0.5509090909090909,0.0,0.4413636363636364,1.0,0.44909090909090904,1.0,18.783181818181816,7.37,0.29409090909090907,0.12,21.229090909090907,32.69,22.310909090909092,32.69
Barail Ruleset/Barail (Ludii 1) (Reconstructed),Ludus Lombardorum,Piprjall,Ludus Anglicorum Ruleset/Ludus Anglicorum (Described),Jacquet de Versailles,Ofanfelling,Lange Puff,Baralie,Svensk Bradspel,Paumecary,Kotra,558.8180952380953,46.96,84.36428571428571,3.94,647.1133333333333,46.96,0.8595238095238096,0.91,0.8438095238095241,0.58,0.5014285714285714,0.62,0.9366666666666668,0.76,0.7642857142857143,1.0,0.2357142857142857,0.0,0.2357142857142857,0.0,25.119999999999997,23.08,0.480952380952381,0.33,8.204285714285716,6.37,9.011428571428569,6.92
Barail Ruleset/Barail (Ludii 2) (Reconstructed),Lange Puff,Contrare Puff,Garanguet,Ludus Lombardorum,Kotra,Myles,Ludus Anglicorum Ruleset/Ludus Anglicorum (Described),Jacquet de Versailles,Paumecary,Piprjall,584.8770000000001,45.71,88.3395,3.15,677.587,45.71,0.8774999999999998,0.91,0.8630000000000002,0.58,0.5035,0.63,0.9375,0.74,0.7525000000000001,1.0,0.2475,0.0,0.2475,0.0,25.331500000000002,23.27,0.48500000000000015,0.33,8.450999999999999,6.36,9.185999999999998,6.88
Barail Ruleset/Barail (Ludii 3) (Reconstructed),Svensk Bradspel,Verquere,Myles,Jacquet,Imperial,Garanguet,Paumecary,Baralie,Ludus Anglicorum Ruleset/Ludus Anglicorum (Described),Ludus Lombardorum,644.422142857143,47.95,94.92357142857142,3.34,803.507857142857,47.95,0.9014285714285714,0.91,0.8985714285714287,0.58,0.5114285714285715,0.61,0.9257142857142856,0.78,0.7128571428571429,1.0,0.2871428571428571,0.0,0.2871428571428571,0.0,26.772857142857145,22.88,0.4978571428571429,0.33,9.078571428571431,6.3,9.76142857142857,6.85
Barail Ruleset/Barail (Ludii 4) (Reconstructed),Ludus Lombardorum,Svensk Bradspel,Ludus Anglicorum Ruleset/Ludus Anglicorum (Described),Garanguet,Imperial,Verquere,Jacquet,Baralie,Paumecary,Piprjall,599.5881250000001,47.78,92.70375000000001,3.13,738.7881250000002,47.78,0.9037499999999998,0.9,0.9012500000000001,0.58,0.50625,0.54,0.9275000000000001,0.92,0.74875,1.0,0.25125000000000003,0.0,0.25125000000000003,0.0,25.578125,22.92,0.48937500000000006,0.33,8.920000000000002,6.29,9.576875,6.87
Barail Ruleset/Barail (Ludii 5) (Reconstructed),Ludus Lombardorum,Verquere,Paumecary,Piprjall,Ludus Anglicorum Ruleset/Ludus Anglicorum (Described),Kotra,Jacquet de Versailles,Yahoudieh,Baralie,Imperial,533.3968421052631,47.1,86.9521052631579,3.14,650.6178947368421,47.1,0.8715789473684211,0.91,0.8600000000000002,0.58,0.5042105263157893,0.56,0.9347368421052631,0.88,0.788421052631579,1.0,0.21157894736842103,0.0,0.21157894736842103,0.0,25.79526315789474,23.26,0.4826315789473685,0.33,8.276842105263158,6.31,9.044210526315789,6.83
Barail Ruleset/Barail (Ludii 6) (Reconstructed),Ludus Lombardorum,Verquere,Piprjall,Frangieh,Ludus Anglicorum Ruleset/Ludus Anglicorum (Described),Paumecary,Jacquet de Versailles,Yahoudieh,Baralie,Imperial,533.3968421052631,46.79,86.9521052631579,3.21,650.6178947368421,46.79,0.8715789473684211,0.91,0.8600000000000002,0.58,0.5042105263157896,0.55,0.9347368421052631,0.9,0.788421052631579,1.0,0.21157894736842103,0.0,0.21157894736842103,0.0,25.79526315789474,23.02,0.4826315789473685,0.33,8.276842105263157,6.23,9.044210526315789,6.77
