Wakanpamungthae (Ludii 1),1238,0.9798980935542774,0.9862490467771388,0.4899490467771387,0.9735471403314161,{1399, 1399},[]
Wakanpamungthae (Ludii 2),1238,0.9414823888457202,0.9478333420685816,0.4515333420685816,0.935131435622859,{1776, 1399},[{54, 1399}]
Wakanpamungthae (Ludii 3),1238,0.9030666841371632,0.9014333420685816,0.4515333420685816,0.9047000262057447,{1776, 54},[{54, 54}]
Wakanpamungthae (Ludii 4),1238,0.9030666841371632,0.9014333420685816,0.4515333420685816,0.9047000262057447,{1776, 1776},[{54, 1776}]
Wakanpamungthae (Ludii 5),1238,0.8818013373148745,0.8881522905377358,0.3918522905377358,0.8754503840920131,{885, 1399},[{58, 1399}]
Wakanpamungthae (Ludii 6),1238,0.8768013373148744,0.9265490467771387,0.4899490467771387,0.8270536278526103,{1399, 882},[]
Wakanpamungthae (Ludii 7),1238,0.8433856326063174,0.8981333420685815,0.4515333420685816,0.7886379231440532,{54, 885},[{1776, 885}]
Wakanpamungthae (Ludii 8),1238,0.8383856326063174,0.8881333420685815,0.4515333420685816,0.7886379231440532,{54, 882},[{1776, 882}]
Wakanpamungthae (Ludii 9),1238,0.8370004713570032,0.8945333420685816,0.4515333420685816,0.7794676006454248,{54, 58},[{1776, 58}]
Wakanpamungthae (Ludii 10),1238,0.7837045810754716,0.8384522905377358,0.3918522905377358,0.7289568716132073,{885, 885},[]
