Id,geacron_similarity,concept_similarity
413,-1,0.8192097321569101
1276,-1,-1
1798,-1,0.79532349596037
1851,-1,0.75022149144005
1227,-1,0.76379492323671
1023,-1,0.76493542800656
1649,-1,0.81115772482214
302,-1,0.911484722200146
1957,-1,-1
2009,-1,0.80996630789694
121,-1,0.72823085071394
2073,-1,0.81558266067484
797,-1,0.82898651195803
234,-1,0.74577877962993
1493,-1,-1
954,-1,0.75860160168947
1459,-1,-1
1871,-1,0.75193500078064
2104,-1,0.75483614697059
247,-1,0.7625858780085499
1363,-1,-1
1489,-1,-1
781,-1,0.73791874803163
22,-1,0.80753370148583
985,-1,0.76424349033497
1626,-1,0.7284391391058
994,-1,-1
349,-1,0.8037508181903
752,-1,0.77678757843879
1307,-1,0.76957780559875
1074,-1,-1
867,-1,-1
1072,-1,0.74165758123262
2021,-1,-1
373,-1,0.7867648339098
371,-1,0.7483870992049699
315,-1,0.88076225891479
1115,-1,0.75578122008394
1215,-1,-1
1149,-1,0.71149342142851
1057,-1,0.66155764588376
1873,-1,0.75115315908119
1007,-1,0.74949654016866
1118,-1,-1
278,-1,0.77292625597986
645,-1,0.80534789009092
949,-1,0.7147998115808301
1831,-1,0.8010784926644801
421,-1,0.75361031588505
1771,-1,0.81487484912564
1985,-1,0.75501478727019
119,-1,0.66528285399457
1205,-1,-1
1119,-1,-1
1104,-1,-1
1969,-1,0.77912147753798
1359,-1,-1
1802,-1,0.7752359466380501
1571,-1,0.7864731961446
1631,-1,-1
1112,-1,0.75589406366741
2038,-1,0.79071926741267
1075,-1,0.76110771727895
33,-1,0.78966198444068
1068,-1,0.77148990309592
1608,-1,0.7790682650942999
2011,-1,0.81418050851117
2066,-1,0.81248523196272
1545,-1,0.87532258398254
1776,-1,0.84679429518941
852,-1,0.905631401387585
1087,-1,-1
173,-1,0.76893304586304
335,-1,-1
1329,-1,-1
898,-1,0.78484765740574
661,-1,0.76736487533078
536,-1,0.76288215010779
452,-1,0.68426019593303
238,-1,-1
1584,-1,-1
1036,-1,0.73800620442899
1944,-1,0.77650132196786
674,-1,0.72548878679035
275,-1,0.7740753813774099
2091,-1,0.76550104581101
1788,-1,0.75254091401819
1174,-1,-1
891,-1,0.81048912037155
316,-1,0.82597493920948
1488,-1,-1
958,-1,-1
1321,-1,0.77695220875209
903,-1,0.7551982791633001
761,-1,0.81516720925251
1512,-1,-1
1388,-1,0.76077273480633
1865,-1,0.75192599822249
738,-1,0.78462316096851
1389,-1,0.72578789183286
1853,-1,0.75191970056104
1364,-1,-1
833,-1,-1
735,-1,0.79383412661508
783,-1,0.73729976659359
169,-1,0.76469252586697
824,-1,-1
1429,-1,-1
1813,-1,0.75603337167297
410,-1,0.76447608852271
1031,-1,0.73488270455561
1059,-1,-1
1257,-1,-1
1370,-1,-1
1357,-1,-1
1093,-1,-1
1213,-1,0.83875980402618
2028,-1,0.7849691010675199
314,-1,0.80763592209611
1654,-1,0.7413416803491599
1557,-1,-1
162,-1,0.76729533657973
1948,-1,0.63974210217784
1721,-1,0.72388842268269
1885,-1,0.75024009310853
861,-1,-1
1655,-1,0.6431421437357401
1223,-1,0.7365506694139901
986,-1,0.80198451115012
