i,time_nano,time_milis,time_s,time_min,time_h,top_1_precision,top_3_precision,top_5_precision,top_7_precision
42,2205182,2,0,0,0,0.271,0.382,0.463,0.527
43,5090268,5,0,0,0,0.26,0.394,0.484,0.537
44,3232533,3,0,0,0,0.232,0.358,0.438,0.529
45,3889018,3,0,0,0,0.27,0.385,0.474,0.543
46,2588513,2,0,0,0,0.242,0.358,0.451,0.513
47,8638834,8,0,0,0,0.247,0.383,0.479,0.544
48,6211017,6,0,0,0,0.248,0.364,0.44,0.51
49,4439168,4,0,0,0,0.252,0.363,0.449,0.518
50,6426111,6,0,0,0,0.229,0.365,0.456,0.507
51,2038175,2,0,0,0,0.254,0.349,0.443,0.499
52,1397139,1,0,0,0,0.261,0.368,0.473,0.527
53,5886551,5,0,0,0,0.269,0.387,0.467,0.528
54,4327814,4,0,0,0,0.25,0.367,0.441,0.513
55,1502287,1,0,0,0,0.256,0.36,0.451,0.524
56,2849386,2,0,0,0,0.241,0.359,0.452,0.502
57,4152354,4,0,0,0,0.293,0.382,0.466,0.524
58,4223783,4,0,0,0,0.238,0.36,0.453,0.508
59,3017030,3,0,0,0,0.273,0.405,0.502,0.565
60,2587330,2,0,0,0,0.238,0.357,0.449,0.509
61,3254486,3,0,0,0,0.262,0.367,0.437,0.502
62,4216821,4,0,0,0,0.249,0.37,0.462,0.527
63,3245220,3,0,0,0,0.258,0.383,0.473,0.531
64,7816665,7,0,0,0,0.293,0.383,0.483,0.538
65,4235395,4,0,0,0,0.256,0.367,0.454,0.528
66,7776577,7,0,0,0,0.267,0.372,0.464,0.523
67,1964552,1,0,0,0,0.236,0.355,0.441,0.497
68,5736134,5,0,0,0,0.249,0.35,0.433,0.514
69,3000883,3,0,0,0,0.251,0.374,0.457,0.52
70,2803276,2,0,0,0,0.261,0.397,0.477,0.52
71,4887827,4,0,0,0,0.233,0.361,0.458,0.52
72,4594840,4,0,0,0,0.271,0.377,0.477,0.533
73,3515273,3,0,0,0,0.244,0.376,0.458,0.539
74,1545536,1,0,0,0,0.252,0.379,0.477,0.529
75,4502563,4,0,0,0,0.253,0.363,0.445,0.516
76,7205643,7,0,0,0,0.295,0.416,0.496,0.555
77,2984636,2,0,0,0,0.26,0.388,0.468,0.535
78,1217082,1,0,0,0,0.278,0.393,0.484,0.542
79,2451933,2,0,0,0,0.243,0.373,0.455,0.513
80,4353525,4,0,0,0,0.243,0.372,0.45,0.514
81,2411540,2,0,0,0,0.284,0.386,0.477,0.533
82,3285008,3,0,0,0,0.248,0.361,0.445,0.521
83,3281152,3,0,0,0,0.258,0.368,0.455,0.512
84,1400386,1,0,0,0,0.272,0.391,0.474,0.519
85,1612315,1,0,0,0,0.267,0.373,0.459,0.516
86,3077612,3,0,0,0,0.272,0.39,0.471,0.527
87,2194355,2,0,0,0,0.263,0.383,0.466,0.541
88,1880220,1,0,0,0,0.297,0.4,0.493,0.565
89,8241500,8,0,0,0,0.256,0.374,0.454,0.513
90,5533936,5,0,0,0,0.261,0.371,0.469,0.519
91,1710618,1,0,0,0,0.247,0.38,0.474,0.542
92,1155817,1,0,0,0,0.258,0.375,0.488,0.546
93,3611780,3,0,0,0,0.242,0.366,0.469,0.535
94,884971,0,0,0,0,0.261,0.373,0.447,0.513
95,3090420,3,0,0,0,0.284,0.402,0.49,0.542
96,6796266,6,0,0,0,0.257,0.372,0.488,0.553
97,1006012,1,0,0,0,0.264,0.361,0.462,0.521
98,3270136,3,0,0,0,0.247,0.378,0.468,0.542
99,2372546,2,0,0,0,0.265,0.377,0.47,0.527
