Game Name,Num Flags On,Properties,Format,Time,Discrete,Realtime,Turns,Alternating,Simultaneous,Stochastic,HiddenInformation,Match,Asymmetric,AsymmetricForces,AsymmetricPiecesType,Players,Simulation,Solitaire,TwoPlayer,Multiplayer,Cooperation,Team,Puzzle,DeductionPuzzle,PlanningPuzzle,Equipment,Container,Board,Shape,SquareShape,HexShape,TriangleShape,DiamondShape,RectangleShape,SpiralShape,CircleShape,StarShape,Tiling,SquareTiling,HexTiling,TriangleTiling,SemiRegularTiling,MorrisTiling,CircleTiling,SpiralTiling,AlquerqueTiling,MancalaBoard,MancalaStores,MancalaTwoRows,MancalaThreeRows,MancalaFourRows,MancalaSixRows,MancalaCircular,Track,TrackLoop,TrackOwned,Hints,Region,Boardless,PlayableSites,Vertex,Cell,Edge,MultiGraphElement,Hand,ManyContainers,Component,Piece,PieceValue,PieceDirection,Dice,Domino,LargePiece,Tile,Rules,Meta,OpeningContract,SwapOption,Repetition,PositionalSuperko,AutoMove,Start,PiecesPlacedOnBoard,PiecesPlacedOutsideBoard,InitialRandomPlacement,InitialScore,InitialCost,Play,Moves,Add,AddDecision,Step,StepDecision,StepToEmpty,StepToFriend,StepToEnemy,Slide,SlideDecision,Leap,LeapDecision,LeapToEmpty,LeapToEnemy,Hop,HopDecision,HopMoreThanOne,HopEnemyToEmpty,HopFriendToEmpty,HopEnemyToEnemy,HopFriendToEnemy,Sow,SowEffect,SowCapture,SowRemove,SowBacktracking,SowProperties,SowSkip,SowOriginFirst,SowCW,SowCCW,Bet,BetDecision,Vote,VoteDecision,Promotion,Remove,RemoveDecision,FromTo,Rotation,Push,Flip,SwapPieces,SwapPiecesDecision,SwapPlayers,SwapPlayersDecision,TakeControl,Shoot,ShootDecision,Priority,ByDieMove,MaxMovesInTurn,MaxDistance,SetNextPlayer,Capture,ReplacementCapture,HopCapture,HopCaptureMoreThanOne,DirectionCapture,EncloseCapture,CustodialCapture,InterveneCapture,SurroundCapture,CaptureSequence,MaxCapture,Conditions,SpaceConditions,Line,Connection,Group,Contains,Loop,Pattern,PathExtent,Territory,Fill,Distance,MoveConditions,Stalemate,CanMove,CanNotMove,PieceConditions,NoPiece,Threat,IsEmpty,IsEnemy,IsFriend,LineOfSight,Directions,AbsoluteDirections,AllDirections,AdjacentDirection,OrthogonalDirection,DiagonalDirection,RotationalDirection,SameLayerDirection,RelativeDirections,ForwardDirection,BackwardDirection,ForwardsDirection,BackwardsDirection,RightwardDirection,LeftwardDirection,RightwardsDirection,LeftwardsDirection,ForwardLeftDirection,ForwardRightDirection,BackwardLeftDirection,BackwardRightDirection,SameDirection,OppositeDirection,Information,HidePieceType,HidePieceOwner,HidePieceValue,InvisiblePiece,Phase,Scoring,PieceCount,SumDice,End,SpaceGoal,LineGoal,ConnectionGoal,GroupGoal,LoopGoal,PathExtentGoal,TerritoryGoal,WarGoal,Checkmate,RaceGoal,Escape,FillGoal,ReachGoal,ScoringGoal,StalemateGoal,Math,Arithmetic,Operations,Addition,Subtraction,Multiplication,Division,Modulo,Absolute,Exponentiation,Minimum,Maximum,Comparison,Equal,NotEqual,LesserThan,LesserThanOrEqual,GreaterThan,GreaterThanOrEqual,Parity,Even,Odd,Logic,Conjunction,Disjunction,Negation,Set,Union,Intersection,Complement,Algorithmics,ConditionalStatement,ControlFlowStatement,Visual,Style,BoardStyle,GraphStyle,ChessStyle,GoStyle,MancalaStyle,PenAndPaperStyle,ShibumiStyle,BackgammonStyle,JanggiStyle,XiangqiStyle,ShogiStyle,TableStyle,SurakartaStyle,TaflStyle,NoBoard,ComponentStyle,AnimalComponent,ChessComponent,FairyChessComponent,PloyComponent,ShogiComponent,XiangqiComponent,StrategoComponent,HandComponent,CheckersComponent,BallComponent,TaflComponent,DiscComponent,StackType,Stack,Symbols,ShowPieceValue,ShowPieceState,Implementation,State,StateType,StackState,PieceState,SiteState,RotationState,VisitedSites,Variable,InternalCounter,PlayerValue,Efficiency,CopyContext,Then,ForEachPiece,DoLudeme,NumPlayers,NumPlayableSitesOnBoard,NumColumns,NumRows,NumCorners,NumDirections,NumOrthogonalDirections,NumDiagonalDirections,NumAdjacentDirections,NumOffDiagonalDirections,NumOuterSites,NumInnerSites,NumLayers,NumEdges,NumCells,NumVertices,NumPerimeterSites,NumTopSites,NumBottomSites,NumRightSites,NumLeftSites,NumCentreSites,NumConvexCorners,NumConcaveCorners,NumPhasesBoard,NumContainers,NumPlayableSites,NumComponentsType,NumComponentsTypePerPlayer,NumDice,NumPlayPhase
Jungle-,72,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,,Yes,,Yes,,,,,Yes,Yes,,,,,,,Yes,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,Yes,,,Yes,Yes,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,,,,,,,,Yes,Yes,,,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,,,Yes,Yes,,,Yes,Yes,,,,,,Yes,,Yes,Yes,,2,63,7,9,4,6.54,3.49,3.05,6.54,0,28,35,1,142,63,80,28,7,7,9,9,1,4,0,2,1,63,16,8,0,1
Kawasukuts-Kawasukuts,69,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,Yes,,,,,,,Yes,,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,2,40,21,21,4,2,2,0,2,0,40,0,1,40,0,40,40,1,1,1,1,4,4,0,2,4,45,5,1,3,2
Kawasukuts-Door_Hazard,69,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,Yes,,,,,,,Yes,,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,4,40,21,21,4,2,2,0,2,0,40,0,1,40,0,40,40,1,1,1,1,4,4,0,2,6,47,7,1,3,2
Kings_Valley-,52,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,Yes,Yes,,,,,,,Yes,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,Yes,,,Yes,,,Yes,,,,,,,,,,,Yes,,,Yes,,2,25,5,5,4,5.76,3.2,2.56,5.76,0,16,9,1,60,25,36,16,5,5,5,5,1,4,0,2,1,25,4,2,0,1
Knightthrough-,55,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,,Yes,,Yes,,,,,Yes,Yes,,Yes,,,,,Yes,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,Yes,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,Yes,,2,64,8,8,4,6.56,3.5,3.06,6.56,0,28,36,1,144,64,81,28,8,8,8,8,4,4,0,2,1,64,2,1,0,1
Main_Pacheh-,70,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,Yes,,Yes,,,,Yes,,Yes,,,,Yes,Yes,Yes,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,Yes,,Yes,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,4,25,5,5,4,5.76,3.2,2.56,5.76,0,16,9,1,60,25,36,16,5,5,5,5,1,4,0,2,2,29,8,1,4,1
Pagade_Kayi_Ata_Sixteen-handed-,77,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,,,,,,,Yes,,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,16,385,136,135,32,5.74,3.08,2.66,5.65,0,273,112,1,960,385,576,273,3,3,3,3,1,32,0,2,18,403,18,1,2,1
Pasa-,52,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,Yes,Yes,Yes,,,Yes,,,,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,,,Yes,,,,,,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,Yes,Yes,,,Yes,Yes,,,,,,Yes,Yes,Yes,,Yes,2,20,2,10,4,4.6,2.8,1.8,4.6,0,20,0,1,52,20,33,20,2,2,10,10,4,4,0,2,2,21,3,1,1,1
Patol-Patol,71,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,Yes,,,,,,,Yes,,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,Yes,,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,2,40,21,21,4,2,2,0,2,0,40,0,1,40,0,40,40,1,1,1,1,4,4,0,2,4,45,5,1,3,2
Patol-Captureless,69,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,Yes,,,,,,,Yes,,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,Yes,,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,2,40,21,21,4,2,2,0,2,0,40,0,1,40,0,40,40,1,1,1,1,4,4,0,2,4,45,5,1,3,2
Pente_Grammai-Locos_Ludi_Race,68,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,,,,,,,Yes,,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,Yes,,,,,,,,Yes,Yes,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,2,11,5,3,11,0.91,0.91,0,0.91,0,11,0,1,5,0,11,11,5,5,2,2,1,11,0,2,4,14,3,1,1,1
Pente_Grammai-Locus_Ludi__Knock-Off_Mode,72,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,,,,,,,Yes,,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,Yes,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,Yes,,,,,,,,Yes,Yes,Yes,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,2,11,5,3,11,0.91,0.91,0,0.91,0,11,0,1,5,0,11,11,5,5,2,2,1,11,0,2,4,14,3,1,1,1
Santorini-,63,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,Yes,Yes,Yes,Yes,,,,,,,Yes,,,,,,,Yes,,Yes,,,,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,Yes,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,Yes,,,,,,,,Yes,Yes,,Yes,Yes,,,,,,Yes,Yes,,Yes,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,,,,,,Yes,,Yes,Yes,,2,25,5,5,4,5.76,3.2,2.56,5.76,0,16,9,1,60,25,36,16,5,5,5,5,1,4,0,2,3,27,6,1,0,2
Sneakthrough-,66,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,,Yes,,Yes,,,,,Yes,Yes,,,,,,,Yes,,,,,,,Yes,Yes,,,,,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,,,Yes,,,,,,,,Yes,Yes,,,,,,,,Yes,Yes,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,Yes,Yes,,2,64,8,8,4,6.56,3.5,3.06,6.56,0,28,36,1,144,64,81,28,8,8,8,8,4,4,0,2,1,64,2,1,0,1
Tsaydithl-,70,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,Yes,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,Yes,,,Yes,,,Yes,Yes,Yes,,Yes,,,,,,,,Yes,Yes,Yes,,,,,,,,Yes,,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,Yes,Yes,2,40,21,21,4,2,2,0,2,0,40,0,1,40,0,40,40,1,1,1,1,4,4,0,2,4,45,5,1,3,1
Tugi-Epfe-,73,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,Yes,,,Yes,,,Yes,Yes,Yes,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,,,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,2,40,12,12,8,2,2,0,2,0,40,0,1,40,0,40,40,10,10,10,10,8,8,0,2,2,43,5,1,3,1
Bao_Ki_Arabu_Zanzibar_1-,71,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,,,,Yes,,,,,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,Yes,,,2,53,8,4,4,5.88,3.25,2.62,3.25,0,20,12,1,52,21,32,20,8,8,4,4,4,4,0,2,3,55,1,0,0,1
Bao_Ki_Arabu_Zanzibar_2-,68,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,Yes,,,2,53,8,4,4,5.88,3.25,2.62,3.25,0,20,12,1,52,21,32,20,8,8,4,4,4,4,0,2,3,55,1,0,0,1
Hawalis-,68,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,,Yes,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,,,,Yes,,,,,Yes,Yes,,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,Yes,,,2,46,7,4,4,5.79,3.21,2.57,3.21,0,18,10,1,45,18,28,18,7,7,4,4,2,4,0,2,3,48,1,0,0,1
