Game Name,UsesFromPositions,SiteState,Count,HiddenInfo,Stacking,Boardless,Stochastic,DeductionPuzzle,Score,Visited,Simultaneous,ThreeDimensions,NotAllPass,Card,LargePiece,SequenceCapture,Track,Rotation,Team,Bet,HashScores,HashAmounts,HashPhases,Graph,Vertex,Cell,Edge,Dominoes,LineOfPlay,MoveAgain,NotMarkovGame,Vote,Note,Loops,StepAdjacentDistance,StepOrthogonalDistance,StepDiagonalDistance,StepOffDistance,StepAllDistance,InternalLoopInTrack,UsesSwapRule,RepeatInGame,RepeatInTurn
Gasetavl,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Go with the Floe,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Hat Diviyan Keliya,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Huli-Mane Ata,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Hund efter Hare (Thy),Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Hund efter Hare (Vendsyssel),Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Hyvn aetter Hare,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Jeu de Renard (Two Foxes),Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Jeu de Renard,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Jeu du Renard et de la Poule,Yes,,Yes,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,Yes,,,,Yes,Yes,,,,,,,,,,,,
Juroku Musashi,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Kaooa,Yes,,Yes,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,Yes,,,,Yes,Yes,,,,,,,,,,,,
Ko-app-paw-na,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Komikan,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Kulaochal,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Len Cua Kin Ngoa,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,
Main Tapak Empat,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Manu,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Mao Naga Tiger Game,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Merimueng-rimueng-do,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Merimueng-rimueng,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Musinaykahwhanmetowaywin,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Mysore Tiger Game (Three Tigers),Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Mysore Tiger Game (Two Tigers),Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Mysore Tiger Game,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Neg Tugal Tuux,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Orissa Tiger Game (Four Tigers),Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Orissa Tiger Game (One Tiger),Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Pon Chochotl,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Pulijudamu,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Rimau-Rimau (One Tiger),Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,Yes,,,,,,,,
Rimau-Rimau (Two Tigers),Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Rimoe,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,
Sher Bakar,Yes,,Yes,,Yes,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Sher Bakr,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Shi Liu Kan Tsiang Kun,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Shui Yen Ho-Shang,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Sumi Naga Game (Hunt),Yes,,Yes,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,Yes,,,,Yes,Yes,,,,,,,,,,,,
Uxrijn Ever,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Wolf and Sheep,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Wolf und Schaaf,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
