Game Name,UsesFromPositions,SiteState,Count,HiddenInfo,Stacking,Boardless,Stochastic,DeductionPuzzle,Score,Visited,Simultaneous,ThreeDimensions,NotAllPass,Card,LargePiece,SequenceCapture,Track,Rotation,Team,Bet,HashScores,HashAmounts,HashPhases,Graph,Vertex,Cell,Edge,Dominoes,LineOfPlay,MoveAgain,NotMarkovGame,Vote,Note,Loops,StepAdjacentDistance,StepOrthogonalDistance,StepDiagonalDistance,StepOffDistance,StepAllDistance,InternalLoopInTrack,UsesSwapRule,RepeatInGame,RepeatInTurn
Madelinette,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Mu Torere,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
NoGo,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Oumoul Kono,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Pong Hau K'i,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Quantum Leap,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,
Snowpaque,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Spots,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Susan,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
T'uk T'uk,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Temeen Tavag,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Tron,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Tugul Shodra,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Abak,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Chameleon,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,
Cross,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Crossway,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,Yes,,
Esa Hex,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Gale,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Gonnect,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,
Havannah,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Hex,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,
Three-Player Hex,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Trax,Yes,,Yes,,,Yes,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Y (Hex),,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Y,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Feed the Ducks,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Groups,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Lines of Action,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Manalath,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Odd,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Omega,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Achi,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Akidada,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
All Queens Chess,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Alquerque de Tres,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Altan Xaraacaj,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Andantino,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Bolotudu,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Connect Four,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Connect6,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,
Dai Hasami Shogi,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Dala,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Dara,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Djara-Badakh,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Dra,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Driesticken,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Dris at-Talata,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Engijn Zirge,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Epelle,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Fanorona Telo,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Five Men's Morris,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Gomoku,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Gurgaldaj,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Janes Soppi (Alignment),Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Jeson Zam,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Les Pendus,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Liu Tsi,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Marelle Triple,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Morabaraba,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Mylna,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Nao Guti,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Nerenchi Keliya,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Nine Holes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Nine Men's Morris,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Niranchy,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Pentalath,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Picaria,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Pushing Me XO,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Ringo,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Round Merels,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Sam K'i,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
San-Noku-Narabe,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Score Four,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Shisima,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Shiva,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Six Men's Morris,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Six-Penny Madell,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Spline,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Squava,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,
Sujjua,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Symbol S.2,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Tant Fant,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Tapatan,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Tauru,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Tavan Tal,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Three Men's Morris,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Tic-Tac-Chess,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Tic-Tac-Four,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Tic-Tac-Mo,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Tic-Tac-Toe,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Triodi (Diagonal),Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Triodi,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Tuk Tak,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Tule Paid,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Twelve Men's Morris,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Ultimate Tic-Tac-Toe,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Wure Dune,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Xanan Zirge,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Xonin Shatar (Complex),Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Xonin Shatar (Simple),Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Yavalade,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Yavalanchor,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,
Yavalath,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,
Zurgaan Tal,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Kensington,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Upper Hand,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Ataxx,Yes,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,
Dorvolz,Yes,,Yes,,,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Go,,,,,,,,,Yes,,,,Yes,,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,Yes,
Lotus,,,,,,,,,Yes,,,,Yes,,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,
One-Eyed Go,,,,,,,,,Yes,,,,Yes,,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Patok,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Phantom Go,,,,Yes,,,,,Yes,,,,Yes,,,,,,,,Yes,,,Yes,Yes,,,,,Yes,,,Yes,,,,,,,,,,
Reversi,Yes,Yes,,,,,,,Yes,,,,Yes,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,
Weiqi,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,Yes,
Chaturaji,Yes,Yes,,,,,Yes,,Yes,,,,Yes,,,,,,,,Yes,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Chaturanga,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Game of the Pawns,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Hindustani Chess,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Mak Ruk,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Rumi Shatranj,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Shatranj,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Shatren,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Acedrex de los Cuatros Tiempos,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,Yes,,,,,,,,,,
Amazon Chess,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Brusky Chess,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Capture the Queen,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Chess,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Chex,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Currierspiel,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
De Vasa Chess,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Double Chess,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Glinski Chess,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Grande Acedrex,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Half Chess,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Horde Chess,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Loop Chess,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Los Alamos Chess,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Maharajah Chess,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
McCooey Chess,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Mini Hexchess,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Phase Chess,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Saxun,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Shafran Chess,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Skirmish (GDL),Yes,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Social Distance Chess,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Starchess,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Ultimate Chess,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Wellisch Chess,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Ahtarah Guti,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Alquerque,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Bara Guti,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Bis Gutiya,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Challis Ghutia (Titagarh),Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Dam (Singapore),Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Dam Hariman,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Ethiopian Capture Game,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Hewakam Keliya,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Kharbaga,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Kharberg,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,
Kotu Ellima,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Lam Pusri,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Meurimueng-rimueng Peuet Ploh,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Mogul Putt'han,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Mughal Pathan,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Peralikatuma,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Ratti-Chitti-Bakri,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Satoel,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Terhuchu,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Tuknanavuhpi,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Zamma,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,
Brazilian Draughts,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Canadian Draughts,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Coc-Inbert,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Dam,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Dama (Italy),Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Dama (Philippines),Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Dama,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Damas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Diagonal Draughts,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Doov,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
English Draughts,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Game of Solomon,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Guerrilla Checkers,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
HexDame,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
International Draughts,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Jekab,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Lasca,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Main Dam,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Makvoer,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Maleys,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,Yes,,,,,,,,
Moo,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Pleasant Draughts,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Shashki,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
The Babylonian,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,Yes,,,,,,,,
Unnamed Dutch Draughts Game,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Awithlaknan Mosona,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Bara Guti (Bihar),Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Buudal,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Challis Ghutia,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Dash Guti,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Egara Guti,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Felli,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Gol Ekuish,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Kaua Dorki,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Kolowis Awithlaknannai,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Konane,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Koruboddo,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Laram Wali,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Lau Kata Kati,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Natt Klab ash-Shawk,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Nei-Pat-Kono,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Padaivettu,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Pam Pait,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Pretwa,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Ram Tir,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
T'oki,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Tre Guti,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
