Game Name,board/war,board/sow,board/space,board/hunt,board/race,puzzle
Shi_Liu_Kan_Tsiang_Kun-,0,0,0,1,0,0
Hund_efter_Hare_Thy-,0,0,0,1,0,0
Rimau-Rimau_One_Tiger-,0,0,0,1,0,0
Renard_et_les_Poules-Renard_et_les_Poules,0,0,0,1,0,0
Renard_et_les_Poules-Orthogonal_Fox,0,0,0,1,0,0
Renard_et_les_Poules-Orthogonal_Fox_Diagonal_Capture,0,0,0,1,0,0
Gasetavl-,0,0,0,1,0,0
Wolf_und_Schaaf-,0,0,0,1,0,0
Sumi_Naga_Game_Hunt-,0,0,0,1,0,0
Manu-,0,0,0,1,0,0
Coyote-Murray,0,0,0,1,0,0
Jeu_de_Renard-,0,0,0,1,0,0
Mysore_Tiger_Game-,0,0,0,1,0,0
Len_Cua_Kin_Ngoa-,0,0,0,1,0,0
Adugo-,0,0,0,1,0,0
Merimueng-rimueng-do-,0,0,0,1,0,0
Merimueng-rimueng-,0,0,0,1,0,0
Kaooa-,0,0,0,1,0,0
Diviyan_Keliya-,0,0,0,1,0,0
Ko-app-paw-na-,0,0,0,1,0,0
Fox_and_Geese-Thirteen_Geese_Murray,0,0,0,1,0,0
Fox_and_Geese-Seventeen_Geese,0,0,0,1,0,0
Baghchal-Baghchal,0,0,0,1,0,0
Baghchal-Baghachal,0,0,0,1,0,0
Bagha_Guti-,0,0,0,1,0,0
Orissa_Tiger_Game_Four_Tigers-,0,0,0,1,0,0
Bagh_Guti-Karwi,0,0,0,1,0,0
Bagh_Guti-Cyningstan,0,0,0,1,0,0
Bagh_Guti-Murray,0,0,0,1,0,0
Refskak-,0,0,0,1,0,0
Shui_Yen_Ho-Shang-,0,0,0,1,0,0
Gioco_dellOrso-,0,0,0,1,0,0
Bouge_Shodra-,0,0,0,1,0,0
Juroku_Musashi-Juroku_Musashi,0,0,0,1,0,0
Juroku_Musashi-Tsuboi,0,0,0,1,0,0
Kulaochal-,0,0,0,1,0,0
Mysore_Tiger_Game_Three_Tigers-,0,0,0,1,0,0
Bagh_Bandi-,0,0,0,1,0,0
Yeung_Luk_Sz_Kon_Tseung_Kwan-Yeung_Luk_Sz_Kon_Tseung_Kwan,0,0,0,1,0,0
Yeung_Luk_Sz_Kon_Tseung_Kwan-Murray,0,0,0,1,0,0
Mysore_Tiger_Game_Two_Tigers-,0,0,0,1,0,0
Sher_Bakar-,0,0,0,1,0,0
Nuktagaq-,0,0,0,1,0,0
Musinaykahwhanmetowaywin-,0,0,0,1,0,0
Bam_Blang_Beh_Khla-,0,0,0,1,0,0
Huli-Mane_Ata-,0,0,0,1,0,0
Mao_Naga_Tiger_Game-,0,0,0,1,0,0
Orissa_Tiger_Game_One_Tiger-,0,0,0,1,0,0
Main_Tapak_Empat-,0,0,0,1,0,0
Rimoe-Rimoe,0,0,0,1,0,0
Rimoe-Two_Rimoe,0,0,0,1,0,0
Uxrijn_Ever-,0,0,0,1,0,0
Sher_Bakr-,0,0,0,1,0,0
Koti_Keliya-,0,0,0,1,0,0
Pulijudamu-,0,0,0,1,0,0
Komikan-Araucania,0,0,0,1,0,0
Komikan-MapuChess,0,0,0,1,0,0
Hat_Diviyan_Keliya-,0,0,0,1,0,0
Bagh_Batti-,0,0,0,1,0,0
Neg_Tugal_Tuux-,0,0,0,1,0,0
Rimau-Rimau_Two_Tigers-Rimau-Rimau_Two_Tigers,0,0,0,1,0,0
Rimau-Rimau_Two_Tigers-Tigers_on_Central_Point,0,0,0,1,0,0
Weiqi-,0,0,1,0,0,0
Dorvolz-,0,0,1,0,0,0
Patok-,0,0,1,0,0,0
Go-,0,0,1,0,0,0
Gala-,0,0,1,0,0,0
Janes_Soppi-,0,0,1,0,0,0
Tugul_Shodra-,0,0,1,0,0,0
Tuk_Tuk-,0,0,1,0,0,0
Pong_Hau_Ki-,0,0,1,0,0,0
Temeen_Tavag-Temeen_Tavag,0,0,1,0,0,0
Temeen_Tavag-Dorvon_Bux,0,0,1,0,0,0
Oumoul_Kono-,0,0,1,0,0,0
Gala_Buginese-,0,0,1,0,0,0
Hyvn_aetter_Hare-,0,0,1,0,0,0
Do_Guti-,0,0,1,0,0,0
Gurvan_Xudag-,0,0,1,0,0,0
Mu_Torere-Simple,0,0,1,0,0,0
Mu_Torere-Complete,0,0,1,0,0,0
Dorvon_Cag-,0,0,1,0,0,0
Haretavl-,0,0,1,0,0,0
Les_Pendus-Les_Pendus,0,0,1,0,0,0
Les_Pendus-Five_in_a_Row,0,0,1,0,0,0
Xonin_Shatar_Complex-,0,0,1,0,0,0
Nerenchi_Keliya-,0,0,1,0,0,0
Tant_Fant-,0,0,1,0,0,0
Tic-Tac-Toe-,0,0,1,0,0,0
Nine_Holes-,0,0,1,0,0,0
Xonin_Shatar_Simple-,0,0,1,0,0,0
Five_Mens_Morris-Murray,0,0,1,0,0,0
Five_Mens_Morris-Cyningstan,0,0,1,0,0,0
Wure_Dune-,0,0,1,0,0,0
Gurgaldaj-,0,0,1,0,0,0
Altan_Xaraacaj-,0,0,1,0,0,0
Tapatan-,0,0,1,0,0,0
Three_Mens_Morris-,0,0,1,0,0,0
Nine_Mens_Morris-,0,0,1,0,0,0
Twelve_Mens_Morris-With_Diagonal,0,0,1,0,0,0
Twelve_Mens_Morris-Board_Game_Geek,0,0,1,0,0,0
Shiva-,0,0,1,0,0,0
Tavan_Tal-,0,0,1,0,0,0
Morabaraba-,0,0,1,0,0,0
Bolotudu-,0,0,1,0,0,0
Janes_Soppi_Alignment-,0,0,1,0,0,0
Tule_Paid-,0,0,1,0,0,0
Gomoku-,0,0,1,0,0,0
Marelle_Triple-,0,0,1,0,0,0
Dra-,0,0,1,0,0,0
Fanorona_Telo-,0,0,1,0,0,0
Picaria-Zaslavsky_1,0,0,1,0,0,0
Picaria-Zaslavsky_2,0,0,1,0,0,0
Akidada-,0,0,1,0,0,0
Driesticken-,0,0,1,0,0,0
Niranchy-,0,0,1,0,0,0
Alquerque_de_Tres-,0,0,1,0,0,0
Sujjua-,0,0,1,0,0,0
Sam_Ki-,0,0,1,0,0,0
Shisima-,0,0,1,0,0,0
Jeson_Zam-,0,0,1,0,0,0
Mylna-,0,0,1,0,0,0
Xanan_Zirge-,0,0,1,0,0,0
Nzengue_Small-,0,0,1,0,0,0
Engijn_Zirge-,0,0,1,0,0,0
Tauru-,0,0,1,0,0,0
Six_Insect_Game-,0,0,1,0,0,0
Six_Mens_Morris-Murray,0,0,1,0,0,0
Six_Mens_Morris-Cyningstan,0,0,1,0,0,0
Round_Merels-Blumlein,0,0,1,0,0,0
Triodi-,0,0,1,0,0,0
Zurgaan_Tal-,0,0,1,0,0,0
Mlabalaba-,0,0,1,0,0,0
Dig_Dig-,0,0,1,0,0,0
Djara-Badakh-,0,0,1,0,0,0
Nao_Guti-,0,0,1,0,0,0
Tuk_Tak-,0,0,1,0,0,0
Achi-Murray,0,0,1,0,0,0
Achi-Wikipedia,0,0,1,0,0,0
Triodi_Diagonal-,0,0,1,0,0,0
Epelle-,0,0,1,0,0,0
Dala-,0,0,1,0,0,0
Dris_at-Talata-,0,0,1,0,0,0
San-Noku-Narabe-,0,0,1,0,0,0
Six-Penny_Madell-,0,0,1,0,0,0
Liu_Tsi-,0,0,1,0,0,0
Dabuda-Afar,0,1,0,0,0,0
Dabuda-Damohoita,0,1,0,0,0,0
Tapata-,0,1,0,0,0,0
Wore-,0,1,0,0,0,0
