Game,Ruleset,GameRuleset,Top Heuristic,Top Score
Wolf and Sheep,,Wolf_and_Sheep-,InfluencePos,70.95238095238095
Wolf und Schaaf,,Wolf_und_Schaaf-,SidesProximityNeg,79.04761904761905
Yeung Luk Sz' Kon Tseung Kwan,Ruleset/Yeung Luk Sz' Kon Tseung Kwan (Described),Yeung_Luk_Sz_Kon_Tseung_Kwan-Yeung_Luk_Sz_Kon_Tseung_Kwan,InfluencePos,61.19047619047619
Yeung Luk Sz' Kon Tseung Kwan,Ruleset/Murray (Suggested),Yeung_Luk_Sz_Kon_Tseung_Kwan-Murray,CentreProximityNeg,55.0
20 Squares,Ruleset/Seleucid (Scholarly),20_Squares-Seleucid,CentreProximityPos,81.25
58 Holes,Ruleset/Carnarvon and Carter (Suggested),58_Holes-Carnarvon_and_Carter,MobilitySimpleNeg,61.30434782608695
Backgammon,,Backgammon-,CentreProximityNeg,84.70588235294117
Baralie,,Baralie-,PlayerSiteMapCountPos,92.66666666666667
Cab e Quinal,Ruleset/Cab e Quinal (Described),Cab_e_Quinal-Cab_e_Quinal,CornerProximityPos,93.88888888888889
Cab e Quinal,Ruleset/Fixed Die (Described),Cab_e_Quinal-Fixed_Die,MobilitySimplePos,97.82608695652173
Doblet,,Doblet-,MaterialNeg,98.18181818181819
Dodgem,,Dodgem-,SidesProximityPos,73.05555555555556
Emperador,,Emperador-,CornerProximityPos,95.0
Fevga,,Fevga-,MobilitySimpleNeg,50.0
Frangieh,,Frangieh-,CornerProximityNeg,84.78260869565217
Garanguet,,Garanguet-,RegionProximityNeg_1,92.22222222222223
Ghingskoot,Ruleset/Quince (Described),Ghingskoot-,OwnRegionsCountNeg,57.36842105263158
Had,,Had-,InfluencePos,53.0
Imperial,,Imperial-,CornerProximityNeg,96.81818181818181
Jacquet de Versailles,,Jacquet_de_Versailles-,CentreProximityNeg,91.9047619047619
Jacquet,,Jacquet-,CentreProximityNeg,92.5
Kawade Kelia,,Kawade_Kelia-,RegionProximityPos_0,72.71317829457402
Kints,Ruleset/Kints (Observed),Kints-,MaterialNeg,55.95238095238095
Kiz Tavlasi,,Kiz_Tavlasi-,MaterialNeg,67.89473684210526
Laquet,,Laquet-,MobilitySimplePos,58.5
Len Doat,,Len_Doat-,SidesProximityNeg,56.0
Los Doze Canes,,Los_Doze_Canes-,NullHeuristicPos,50.0
Ludus Anglicorum,Ruleset/Ludus Anglicorum (Described),Ludus_Anglicorum-Ludus_Anglicorum,CentreProximityNeg,96.84210526315789
Ludus Lombardorum,,Ludus_Lombardorum-,CentreProximityNeg,94.11764705882354
Medio Emperador,Ruleset/Medio Emperador (Described),Medio_Emperador-,CornerProximityPos,94.54545454545455
Myles,,Myles-,CornerProximityNeg,90.0
Nama,Ruleset/Nama (Observed),Nama-,LineCompletionHeuristicPos,51.1069863136238
Ofanfelling,,Ofanfelling-,MaterialNeg,63.529411764705884
Pancha Keliya,,Pancha_Keliya-,CornerProximityNeg,62.5
Panchi,,Panchi-,MaterialNeg,73.0
Pareia de Entrada,Ruleset/Pareia de Entrada (Described),Pareia_de_Entrada-,CornerProximityPos,99.47368421052632
Plakoto,,Plakoto-,CentreProximityPos,79.0
Portes,,Portes-,PlayerSiteMapCountNeg,86.52173913043478
Provincial,,Provincial-,CornerProximityNeg,95.0
Quinze Tablas,,Quinze_Tablas-,MaterialNeg,98.6842105263158
Royal Game of Ur,Ruleset/Finkel (Scholarly),Royal_Game_of_Ur-Finkel,LineCompletionHeuristicPos,77.14285714285714
Royal Game of Ur,Ruleset/Murray (Suggested),Royal_Game_of_Ur-Murray,RegionProximityNeg_0,62.63157894736842
Senet,Ruleset/Kendall (Scholarly),Senet-Kendall,InfluencePos,64.28571428571429
Senet,Ruleset/Kendall Five Pieces (Scholarly),Senet-Kendall_Five_Pieces,MobilitySimplePos,60.95238095238095
Senet,Ruleset/Kendall Trap (Scholarly),Senet-Kendall_Trap,InfluencePos,72.0
Senet,Ruleset/Kendall Home Row (Scholarly),Senet-Kendall_Home_Row,InfluencePos,71.94444444444444
Senet,Ruleset/Kendall Starting Throw (Scholarly),Senet-Kendall_Starting_Throw,RegionProximityNeg_1,65.78947368421052
Senet,Ruleset/Kendall Trap Home Row (Scholarly),Senet-Kendall_Trap_Home_Row,RegionProximityNeg_3,72.10526315789474
Senet,Ruleset/Kendall Five Pieces Starting Throw (Scholarly),Senet-Kendall_Five_Pieces_Starting_Throw,InfluencePos,61.81818181818182
Senet,Ruleset/Kendall Starting Throw Trap (Scholarly),Senet-Kendall_Starting_Throw_Trap,InfluencePos,71.73913043478261
Senet,Ruleset/Kendall Starting Throw Home Row (Scholarly),Senet-Kendall_Starting_Throw_Home_Row,MobilitySimplePos,67.25
Senet,Ruleset/Kendall Five Pieces Trap (Scholarly),Senet-Kendall_Five_Pieces_Trap,MobilitySimplePos,67.27272727272727
