Game,Ruleset,GameRuleset,Top Heuristic,Top Score
Unlur,,Unlur-,NullHeuristicPos,82.10526315789474
Y (Hex),,Y_Hex-,LineCompletionHeuristicPos,83.80952380952381
Y,,Y-,SidesProximityNeg,80.0
Feed the Ducks,,Feed_the_Ducks-,SidesProximityNeg,88.18181818181819
Groups,,Groups-,CentreProximityPos,92.75
Lines of Action,,Lines_of_Action-,CentreProximityPos,97.61904761904762
Manalath,,Manalath-,CentreProximityNeg,95.78947368421052
Odd,,Odd-,LineCompletionHeuristicPos,55.0
Omega,,Omega-,SidesProximityPos,86.5
Omny,,Omny-,CentreProximityPos,87.0
3D Tic-Tac-Toe,,3D_Tic-Tac-Toe-,NullHeuristicPos,50.0
Achi,Ruleset/Murray (Described),Achi-Murray,LineCompletionHeuristicPos,81.66666666666667
Achi,Ruleset/Wikipedia (Suggested),Achi-Wikipedia,LineCompletionHeuristicPos,79.21052631578948
Agilidade,,Agilidade-,CornerProximityPos,59.77272727272727
Akidada,,Akidada-,MobilitySimpleNeg,67.0
All Queens Chess,,All_Queens_Chess-,SidesProximityNeg,89.0
Alquerque de Tres,,Alquerque_de_Tres-,NullHeuristicPos,50.0
Altan Xaraacaj,,Altan_Xaraacaj-,CentreProximityPos,97.14285714285714
Andantino,,Andantino-,LineCompletionHeuristicPos,70.41666666666667
Bolotudu,,Bolotudu-,CentreProximityPos,91.5
Bravalath,,Bravalath-,LineCompletionHeuristicPos,81.25
Connect Four,,Connect_Four-,CornerProximityPos,85.5
Connect6,,Connect6-,LineCompletionHeuristicPos,99.5
Dai Hasami Shogi,,Dai_Hasami_Shogi-,CentreProximityPos,96.19047619047619
Dala,,Dala-,CentreProximityPos,97.38095238095238
Dara,,Dara-,CentreProximityPos,90.0
Dig Dig,,Dig_Dig-,LineCompletionHeuristicPos,82.95454545454545
Djara-Badakh,,Djara-Badakh-,LineCompletionHeuristicPos,86.38888888888889
Dra,,Dra-,CornerProximityPos,88.82352941176471
Driesticken,,Driesticken-,MaterialPos,73.15789473684211
Dris at-Talata,,Dris_at-Talata-,LineCompletionHeuristicPos,88.5
Engijn Zirge,,Engijn_Zirge-,LineCompletionHeuristicPos,80.78947368421052
Epelle,,Epelle-,InfluencePos,75.78947368421052
Fanorona Telo,,Fanorona_Telo-,LineCompletionHeuristicPos,81.25
Fivalath,,Fivalath-,LineCompletionHeuristicPos,84.76190476190476
Five Men's Morris,Ruleset/Murray (Suggested),Five_Mens_Morris-Murray,LineCompletionHeuristicPos,84.16666666666667
Five Men's Morris,Ruleset/Cyningstan (Suggested),Five_Mens_Morris-Cyningstan,LineCompletionHeuristicPos,81.57894736842105
Gomoku,,Gomoku-,LineCompletionHeuristicPos,96.81818181818181
Gurgaldaj,,Gurgaldaj-,LineCompletionHeuristicPos,91.13636363636364
Janes Soppi (Alignment),,Janes_Soppi_Alignment-,LineCompletionHeuristicPos,88.94736842105263
Jeson Zam,,Jeson_Zam-,CornerProximityPos,93.4375
Keryo-Pente,,Keryo-Pente-,LineCompletionHeuristicPos,100.0
Les Pendus,Ruleset/Les Pendus (Described),Les_Pendus-Les_Pendus,LineCompletionHeuristicPos,77.38095238095238
Les Pendus,Ruleset/Five in a Row (Described),Les_Pendus-Five_in_a_Row,NullHeuristicPos,50.0
Liu Tsi,,Liu_Tsi-,LineCompletionHeuristicPos,80.75
Marelle Quadruple,,Marelle_Quadruple-,LineCompletionHeuristicPos,74.0
Marelle Triple,,Marelle_Triple-,LineCompletionHeuristicPos,84.31818181818181
Mlabalaba,,Mlabalaba-,LineCompletionHeuristicPos,93.5
Morabaraba,,Morabaraba-,CentreProximityPos,97.36842105263158
Mylna,,Mylna-,LineCompletionHeuristicPos,73.33333333333333
Nao Guti,,Nao_Guti-,SidesProximityPos,79.21052631578948
Nerenchi Keliya,,Nerenchi_Keliya-,MobilitySimplePos,92.75
Nine Holes,,Nine_Holes-,InfluenceNeg,66.19047619047619
Nine Men's Morris,,Nine_Mens_Morris-,LineCompletionHeuristicPos,84.72222222222223
Niranchy,,Niranchy-,CentreProximityNeg,68.94736842105263
Nzengue (Small),,Nzengue_Small-,NullHeuristicPos,50.0
Order and Chaos,,Order_and_Chaos-,MobilitySimpleNeg,56.0
Pentalath,,Pentalath-,LineCompletionHeuristicPos,97.61904761904762
Pente,,Pente-,LineCompletionHeuristicPos,99.58333333333333
Picaria,Ruleset/Zaslavsky 1 (Suggested),Picaria-Zaslavsky_1,InfluencePos,70.0
Picaria,Ruleset/Zaslavsky 2 (Suggested),Picaria-Zaslavsky_2,LineCompletionHeuristicPos,74.75
Pushing Me XO,,Pushing_Me_XO-,MaterialPos,89.33333333333333
Quarto,,Quarto-,SidesProximityNeg,60.0
Quixo,,Quixo-,LineCompletionHeuristicPos,78.42105263157895
Ringo,,Ringo-,LineCompletionHeuristicPos,79.375
Round Merels,Ruleset/Blumlein (Suggested),Round_Merels-Blumlein,SidesProximityPos,70.88235294117646
Sam K'i,,Sam_Ki-,LineCompletionHeuristicPos,79.52380952380952
San-Noku-Narabe,,San-Noku-Narabe-,MobilitySimpleNeg,64.75
Score Four,,Score_Four-,SidesProximityNeg,68.25
Shah,,Shah-,InfluenceNeg,69.0909090909091
Shisima,,Shisima-,CentreProximityNeg,72.04545454545455
Shiva,,Shiva-,CornerProximityPos,66.08695652173913
Six Insect Game,,Six_Insect_Game-,MaterialPos,98.0952380952381
Six Men's Morris,Ruleset/Murray (Suggested),Six_Mens_Morris-Murray,LineCompletionHeuristicPos,87.10526315789474
Six Men's Morris,Ruleset/Cyningstan (Suggested),Six_Mens_Morris-Cyningstan,CornerProximityPos,84.0909090909091
Six-Penny Madell,,Six-Penny_Madell-,SidesProximityPos,80.0
Spline,,Spline-,CentreProximityPos,65.5
Squava,,Squava-,LineCompletionHeuristicPos,80.95238095238095
Sujjua,,Sujjua-,CornerProximityPos,77.5
Symbol S.2,,Symbol_S.2-,LineCompletionHeuristicPos,83.4090909090909
Tant Fant,,Tant_Fant-,OwnRegionsCountNeg,75.95238095238095
Tapatan,,Tapatan-,LineCompletionHeuristicPos,78.47826086956522
Tauru,,Tauru-,CentreProximityPos,96.11111111111111
Tavan Tal,,Tavan_Tal-,CentreProximityPos,87.63157894736842
Three Men's Morris,,Three_Mens_Morris-,LineCompletionHeuristicPos,84.54545454545455
Tic-Tac-Chess,,Tic-Tac-Chess-,LineCompletionHeuristicPos,80.22727272727273
Tic-Tac-Die,,Tic-Tac-Die-,MobilitySimpleNeg,55.0
Tic-Tac-Four,,Tic-Tac-Four-,CentreProximityPos,82.1195652173913
Tic-Tac-Mo,,Tic-Tac-Mo-,CentreProximityPos,67.69636015325669
Tic-Tac-Toe Misere,,Tic-Tac-Toe_Misere-,LineCompletionHeuristicNeg,87.5
Tic-Tac-Toe,,Tic-Tac-Toe-,CornerProximityNeg,56.5
Triodi (Chios),,Triodi_Chios-,LineCompletionHeuristicPos,76.38888888888889
Triodi (Diagonal),,Triodi_Diagonal-,LineCompletionHeuristicPos,92.0
Triodi,,Triodi-,MaterialPos,82.5
Tuk Tak,,Tuk_Tak-,LineCompletionHeuristicPos,80.0
Tule Paid,,Tule_Paid-,LineCompletionHeuristicPos,93.57142857142857
Twelve Men's Morris,Ruleset/With Diagonal (Suggested),Twelve_Mens_Morris-With_Diagonal,LineCompletionHeuristicPos,94.1304347826087
Twelve Men's Morris,Ruleset/Board Game Geek (Suggested),Twelve_Mens_Morris-Board_Game_Geek,SidesProximityPos,83.4375
Ultimate Tic-Tac-Toe,,Ultimate_Tic-Tac-Toe-,RegionProximityPos_5,90.9090909090909
Unfair,,Unfair-,LineCompletionHeuristicPos,83.18181818181819
Wure Dune,,Wure_Dune-,MobilitySimplePos,85.45454545454545
Xanan Zirge,,Xanan_Zirge-,CentreProximityPos,97.36842105263158
Xonin Shatar (Complex),,Xonin_Shatar_Complex-,LineCompletionHeuristicPos,94.0909090909091
Xonin Shatar (Simple),,Xonin_Shatar_Simple-,LineCompletionHeuristicPos,95.23809523809524
Yavalade,,Yavalade-,CentreProximityPos,63.425925925925945
Yavalanchor,,Yavalanchor-,MaterialPos,92.0
Yavalath,,Yavalath-,LineCompletionHeuristicPos,89.04761904761905
Zurgaan Tal,,Zurgaan_Tal-,LineCompletionHeuristicPos,91.5
Callanish,,Callanish-,SidesProximityPos,78.0
Kensington,,Kensington-,MaterialPos,50.0
Quantik,,Quantik-,MobilitySimplePos,84.5
Upper Hand,,Upper_Hand-,CornerProximityPos,86.0
Ataxx,,Ataxx-,CornerProximityPos,90.75
Dorvolz,,Dorvolz-,MobilitySimpleNeg,50.0
Flume,,Flume-,MobilitySimplePos,99.41176470588235
Go,,Go-,ScorePos,93.52941176470588
Lotus,,Lotus-,MobilitySimplePos,86.75
MacBeth,,MacBeth-,ScorePos,61.13636363636363
One-Eyed Go,,One-Eyed_Go-,ScorePos,93.33333333333333
Patok,,Patok-,LineCompletionHeuristicPos,82.5
Reversi,,Reversi-,ScorePos,79.73684210526316
Weiqi,,Weiqi-,MaterialPos,89.0
Chaturaji,Ruleset/Wikipedia (Suggested),Chaturaji-Wikipedia,ScorePos,93.31521739130436
Chaturanga,Ruleset/Manasollasa (Described),Chaturanga-Manasollasa,MaterialPos,79.56521739130434
Chaturanga,Ruleset/Elephant Diagonal Move (Scholarly),Chaturanga-Elephant_Diagonal_Move,MaterialPos,87.6086956521739
Chaturanga,Ruleset/Elephant Diagonal Jump (Scholarly),Chaturanga-Elephant_Diagonal_Jump,MaterialPos,82.5
Game of the Pawns,,Game_of_the_Pawns-,MaterialPos,52.22222222222222
Hindustani Chess,,Hindustani_Chess-,MobilitySimpleNeg,50.0
Mak Ruk,,Mak_Ruk-,MaterialPos,86.13636363636364
Parsi Chess,,Parsi_Chess-,CornerProximityPos,78.47826086956522
Rumi Shatranj,,Rumi_Shatranj-,MaterialPos,87.89473684210526
Shatranj al-Husun,,Shatranj_al-Husun-,MaterialPos,75.65217391304348
Shatranj al-Kabir,,Shatranj_al-Kabir-,MaterialNeg,70.27777777777777
Shatranj al-Mustatila,,Shatranj_al-Mustatila-,RegionProximityPos_1,82.08333333333333
Shatranj ar-Rumiya,Ruleset/Murray (Described),Shatranj_ar-Rumiya-Murray,MaterialPos,70.43478260869566
Shatranj at-Tamma,,Shatranj_at-Tamma-,MaterialPos,80.0
Shatranj,,Shatranj-,MaterialPos,82.72727272727273
Shatren,,Shatren-,MaterialPos,85.75
Shodra,,Shodra-,MaterialPos,90.75
Sittuyin,,Sittuyin-,MaterialPos,73.91304347826087
Tsatsarandi,,Tsatsarandi-,MobilitySimplePos,73.05555555555556
Acedrex de los Cuatros Tiempos,,Acedrex_de_los_Cuatros_Tiempos-,CentreProximityPos,67.4094202898557
Amazon Chess,,Amazon_Chess-,CornerProximityPos,93.82352941176471
Brusky Chess,,Brusky_Chess-,CornerProximityPos,94.77272727272727
Capture the Queen,,Capture_the_Queen-,InfluencePos,83.33333333333333
Chess,,Chess-,CornerProximityPos,90.47619047619048
Currierspiel,,Currierspiel-,MaterialPos,82.0
De Vasa Chess,,De_Vasa_Chess-,CentreProximityPos,90.45454545454545
Dice Chess,,Dice_Chess-,CornerProximityPos,76.0
Double Chess,,Double_Chess-,MaterialPos,83.05555555555556
Glinski Chess,,Glinski_Chess-,SidesProximityPos,92.70833333333333
Grande Acedrex,Ruleset/Alfonso X (Described),Grande_Acedrex-Alfonso_X,MaterialPos,94.31818181818181
Grande Acedrex,Ruleset/Dice (Described),Grande_Acedrex-Dice,RegionProximityPos_0,67.70833333333333
Half Chess,,Half_Chess-,CornerProximityPos,80.0
Horde Chess,,Horde_Chess-,RegionProximityPos_1,87.36842105263158
Level Chess,,Level_Chess-,CentreProximityPos,62.93859649122818
Loop Chess,,Loop_Chess-,MaterialPos,93.04347826086956
Los Alamos Chess,,Los_Alamos_Chess-,MaterialPos,88.0952380952381
Maharajah Chess,,Maharajah_Chess-,MobilitySimplePos,75.0
McCooey Chess,,McCooey_Chess-,MaterialPos,90.0
Mini Hexchess,,Mini_Hexchess-,MaterialPos,80.71428571428571
Phase Chess,,Phase_Chess-,MaterialPos,88.33333333333333
Saxun,,Saxun-,CornerProximityPos,79.5
Shafran Chess,,Shafran_Chess-,MaterialPos,90.52631578947368
Skirmish (GDL),,Skirmish_GDL-,SidesProximityPos,93.23529411764706
Social Distance Chess,,Social_Distance_Chess-,CentreProximityPos,88.42105263157895
Spartan Chess,,Spartan_Chess-,MaterialPos,91.84210526315789
Starchess,,Starchess-,MaterialPos,70.75
Ultimate Chess,,Ultimate_Chess-,MaterialPos,83.15789473684211
Wellisch Chess,,Wellisch_Chess-,RegionProximityPos_2,72.12301587301589
Ahtarah Guti,,Ahtarah_Guti-,MaterialPos,90.75
Alquerque,Ruleset/Alfonso X (Described),Alquerque-Alfonso_X,MaterialPos,99.04761904761905
Alquerque,Ruleset/Murray (Suggested),Alquerque-Murray,MaterialPos,94.28571428571429
Alquerque,Ruleset/Covarrubias (Described),Alquerque-Covarrubias,MaterialPos,91.25
Bara Guti,,Bara_Guti-,MaterialPos,98.42105263157895
Bis Gutiya,,Bis_Gutiya-,MaterialPos,90.0
Challis Ghutia (Titagarh),Ruleset/Challis Ghutia (Titagarh) (Observed),Challis_Ghutia_Titagarh-,MaterialPos,72.6086956521739
Dablot Prejjesne,,Dablot_Prejjesne-,MaterialPos,65.0
Dam (Singapore),,Dam_Singapore-,MaterialPos,90.0
Dam Hariman,,Dam_Hariman-,MaterialPos,85.26315789473684
Ethiopian Capture Game,,Ethiopian_Capture_Game-,MaterialPos,93.88888888888889
Hewakam Keliya,,Hewakam_Keliya-,MaterialPos,88.86363636363636
Kharbaga,,Kharbaga-,RegionProximityPos_1,95.0
Kharberg,,Kharberg-,MaterialPos,91.52173913043478
Kotu Ellima,,Kotu_Ellima-,MaterialPos,82.38095238095238
Lam Pusri,,Lam_Pusri-,MaterialPos,93.63636363636364
Meurimueng-rimueng Peuet Ploh,,Meurimueng-rimueng_Peuet_Ploh-,MaterialPos,81.0
Mogul Putt'han,Ruleset/Sixteen Pieces (Observed),Mogul_Putthan-Sixteen_Pieces,MaterialPos,91.5
Mogul Putt'han,Ruleset/Nineteen Pieces (Described),Mogul_Putthan-Nineteen_Pieces,MaterialPos,79.28571428571429
Mughal Pathan,,Mughal_Pathan-,MaterialPos,77.14285714285714
Peralikatuma,,Peralikatuma-,MaterialPos,84.70588235294117
Ratti-Chitti-Bakri,,Ratti-Chitti-Bakri-,MaterialPos,81.19047619047619
Satoel,,Satoel-,MaterialPos,71.0
Terhuchu,,Terhuchu-,MaterialPos,67.04545454545455
Tuknanavuhpi,,Tuknanavuhpi-,MaterialPos,88.5
Zamma,,Zamma-,RegionProximityPos_1,93.57142857142857
American Pool Checkers,,American_Pool_Checkers-,SidesProximityPos,90.625
Brazilian Draughts,,Brazilian_Draughts-,SidesProximityPos,92.95454545454545
Cage,,Cage-,SidesProximityPos,74.78260869565217
Canadian Draughts,,Canadian_Draughts-,SidesProximityPos,95.0
Coc-Inbert,,Coc-Inbert-,InfluencePos,92.25
Dam,,Dam-,MaterialPos,91.84210526315789
Dama (Italy),,Dama_Italy-,MaterialPos,96.42857142857143
Dama (Philippines),,Dama_Philippines-,MaterialPos,95.25
Dama,,Dama-,MaterialPos,94.28571428571429
Damas,,Damas-,MaterialPos,97.27272727272727
Damenspiel,,Damenspiel-,MaterialPos,95.0
Damspel,,Damspel-,MaterialPos,88.33333333333333
Diagonal Draughts,,Diagonal_Draughts-,MaterialPos,77.36842105263158
Doov,,Doov-,MaterialPos,91.36363636363636
English Draughts,,English_Draughts-,MaterialPos,96.33333333333333
Game of Solomon,,Game_of_Solomon-,MaterialPos,91.36363636363636
Guerrilla Checkers,,Guerrilla_Checkers-,MaterialPos,80.0
HexDame,,HexDame-,SidesProximityPos,91.76470588235294
International Draughts,,International_Draughts-,SidesProximityPos,92.1875
Jekab,,Jekab-,SidesProximityPos,92.22222222222223
Lasca,,Lasca-,PlayerRegionsProximityNeg_2,72.72727272727273
Main Dam,,Main_Dam-,MaterialPos,95.22727272727273
Makvoer,,Makvoer-,MaterialPos,87.82608695652173
Maleys,,Maleys-,MaterialPos,68.57142857142857
Moo,,Moo-,SidesProximityPos,92.25
Pleasant Draughts,,Pleasant_Draughts-,MaterialPos,91.75
Shashki,,Shashki-,MaterialPos,95.0
Tama,Ruleset/Wikipedia (Suggested),Tama-Wikipedia,MaterialPos,89.73684210526316
The Babylonian,,The_Babylonian-,MaterialPos,87.6086956521739
Unnamed Dutch Draughts Game,,Unnamed_Dutch_Draughts_Game-,PlayerRegionsProximityPos_1,75.23809523809524
Awithlaknan Mosona,,Awithlaknan_Mosona-,MaterialPos,90.78947368421052
Bara Guti (Bihar),,Bara_Guti_Bihar-,MaterialPos,86.0
Buudal,,Buudal-,MaterialPos,71.5
Challis Ghutia,,Challis_Ghutia-,MaterialPos,73.15789473684211
Crand,,Crand-,InfluencePos,68.6842105263158
Dash Guti,,Dash_Guti-,MaterialPos,94.0
Egara Guti,,Egara_Guti-,MaterialPos,97.0
Felli,Ruleset/Board Game Geek (Suggested),Felli-Board_Game_Geek,MaterialPos,86.5625
Felli,Ruleset/Simplified (Suggested),Felli-Simplified,MaterialPos,89.28571428571429
Gol Ekuish,,Gol_Ekuish-,MaterialPos,86.38888888888889
Kaua Dorki,,Kaua_Dorki-,SidesProximityPos,86.81818181818181
Kolowis Awithlaknannai,,Kolowis_Awithlaknannai-,MaterialPos,88.42105263157895
Konane,,Konane-,InfluencePos,86.95652173913044
Koruboddo,,Koruboddo-,MaterialPos,94.04761904761905
Laram Wali,Ruleset/Laram Wali (Observed),Laram_Wali-,MaterialPos,66.66666666666667
Lau Kata Kati,,Lau_Kata_Kati-,MaterialPos,84.52380952380952
Leap Frog,,Leap_Frog-,CornerProximityPos,85.9090909090909
Natt Klab ash-Shawk,,Natt_Klab_ash-Shawk-,MaterialPos,95.8695652173913
Nei-Pat-Kono,,Nei-Pat-Kono-,CentreProximityPos,91.19047619047619
Padaivettu,,Padaivettu-,MaterialPos,81.5
Pam Pait,,Pam_Pait-,MaterialPos,88.0
Pretwa,,Pretwa-,MaterialPos,92.25
Ram Tir,,Ram_Tir-,InfluencePos,75.71428571428571
T'oki,,Toki-,MaterialPos,84.78260869565217
Tre Guti,,Tre_Guti-,MaterialPos,83.6842105263158
Ad elta stelpur,,Ad_elta_stelpur-,MaterialPos,81.76470588235294
At-Tab wa-d-Dukk,Ruleset/at-Tab wa-d-Dukk (Observed),At-Tab_wa-d-Dukk-,MaterialPos,82.22222222222223
Atari Go,,Atari_Go-,CentreProximityPos,83.5
Awangdu,,Awangdu-,MaterialPos,94.47368421052632
Awithlaknakwe,,Awithlaknakwe-,MobilitySimpleNeg,50.0
Bizingo,,Bizingo-,MaterialPos,56.52173913043478
Boseog Gonu,,Boseog_Gonu-,MaterialPos,88.33333333333333
Boxijn Barildaan,,Boxijn_Barildaan-,InfluencePos,84.44444444444444
Castello,,Castello-,RegionProximityPos_1,68.42105263157895
Choko,,Choko-,MaterialPos,98.0952380952381
Clobber,,Clobber-,InfluencePos,66.66666666666667
Fang,,Fang-,CornerProximityPos,92.5
Fanorona,,Fanorona-,MaterialPos,92.25
Gundru,,Gundru-,MaterialPos,99.73684210526316
Ja-Jeon-Geo-Gonu,,Ja-Jeon-Geo-Gonu-,CornerProximityPos,85.26315789473684
Ludus Latrunculorum,Ruleset/Schadler (Scholarly),Ludus_Latrunculorum-Schadler,MobilitySimplePos,77.6470588235294
Ludus Latrunculorum,Ruleset/Museum Quintana (Suggested),Ludus_Latrunculorum-Museum_Quintana,MaterialPos,91.94444444444444
Ludus Latrunculorum,Ruleset/Falkener (Suggested),Ludus_Latrunculorum-Falkener,InfluencePos,81.66666666666667
Ludus Latrunculorum,Ruleset/Kowalski 8x12 (Suggested),Ludus_Latrunculorum-Kowalski_8x12,MaterialPos,83.63636363636364
Ludus Latrunculorum,Ruleset/Kowalski 10x11 (Suggested),Ludus_Latrunculorum-Kowalski_10x11,MaterialPos,80.26315789473684
Ludus Latrunculorum,Ruleset/Bell 8x7 (Suggested),Ludus_Latrunculorum-Bell_8x7,CornerProximityPos,87.14285714285714
Ludus Latrunculorum,Ruleset/Bell 8x8 (Suggested),Ludus_Latrunculorum-Bell_8x8,CornerProximityPos,89.52380952380952
Maak Yek,,Maak_Yek-,MaterialPos,92.6470588235294
Mapuche Game,,Mapuche_Game-,RegionProximityPos_0,89.79166666666667
Mehen,Ruleset/Kendall (Scholarly),Mehen-Kendall,MaterialPos,71.57894736842105
Mini Wars,,Mini_Wars-,SidesProximityPos,86.11111111111111
Oust,,Oust-,MobilitySimplePos,96.36363636363636
Ploy,,Ploy-,CornerProximityPos,89.28571428571429
Press Ups,,Press_Ups-,RegionProximityPos_0,81.66666666666667
Queah Game,,Queah_Game-,MaterialPos,92.38095238095238
Seega,Ruleset/Khamsawee (Observed),Seega-Khamsawee,MaterialPos,94.5
Seega,Ruleset/Sebawee (Observed),Seega-Sebawee,MaterialPos,91.36363636363636
Seega,Ruleset/Tisawee (Observed),Seega-Tisawee,MaterialPos,84.76190476190476
Shantarad,,Shantarad-,CentreProximityNeg,58.333333333333336
Shobu,,Shobu-,MaterialPos,97.36842105263158
Sig (Mzab),Ruleset/Sig (Mzab) (Observed),Sig_Mzab-,CornerProximityPos,82.5
Sig (Tozeur),,Sig_Tozeur-,MaterialPos,59.76190476190476
Sijat El Taba,Ruleset/Sijat El Taba (Described),Sijat_El_Taba-,MaterialPos,85.20833333333333
Siryu (War),,Siryu_War-,LineCompletionHeuristicPos,86.66666666666667
Sumi Naga Game (War),,Sumi_Naga_Game_War-,MaterialPos,96.19047619047619
Surakarta,,Surakarta-,CornerProximityPos,93.18181818181819
Tablas Astronomias,,Tablas_Astronomias-,CornerProximityPos,69.76982405398883
Terhuchu (Small),Ruleset/Terhuchu (Small) (Observed),Terhuchu_Small-Terhuchu_Small,MaterialPos,99.25
Terhuchu (Small),Ruleset/Eight pieces (Observed),Terhuchu_Small-Eight_pieces,MaterialPos,98.33333333333333
Toono,,Toono-,MaterialPos,92.94117647058823
Triad,,Triad-,MaterialPos,82.77777777777777
Triple Tangle,,Triple_Tangle-,MaterialPos,90.71428571428571
Vela,,Vela-,MaterialPos,85.52631578947368
Xarajlt,,Xarajlt-,MaterialPos,87.27272727272727
Yote,,Yote-,SidesProximityPos,93.25
Zola,,Zola-,SidesProximityPos,97.0
Dice Shogi,,Dice_Shogi-,MaterialPos,89.5
Hasami Shogi,,Hasami_Shogi-,MaterialPos,79.11764705882354
Kyoto Shogi,,Kyoto_Shogi-,CornerProximityPos,82.14285714285714
Minishogi,,Minishogi-,MaterialPos,94.21052631578948
Shogi,,Shogi-,MaterialPos,97.85714285714286
Tai Shogi,Ruleset/Wikipedia (Suggested),Tai_Shogi-Wikipedia,CornerProximityPos,94.47368421052632
Taikyoku Shogi,,Taikyoku_Shogi-,CornerProximityPos,98.15789473684211
Tobi Shogi,,Tobi_Shogi-,MaterialPos,67.89473684210526
Alea Evangelii,Ruleset/Cyningstan (Suggested),Alea_Evangelii-Cyningstan,RegionProximityPos_0,67.85714285714286
ArdRi,,ArdRi-,LineCompletionHeuristicPos,69.72222222222223
Brandub,Ruleset/Nielsen (Suggested),Brandub-Nielsen,InfluencePos,65.0
Breakthru,,Breakthru-,InfluencePos,72.27272727272727
HeXentafl,,HeXentafl-,MaterialPos,77.0
Hnefatafl,Ruleset/Fetlar (Suggested),Hnefatafl-Fetlar,InfluencePos,71.08695652173913
Tablut,Ruleset/Linnaeus (Observed),Tablut-Linnaeus,CornerProximityPos,75.33333333333333
Tablut,Ruleset/Smith (Suggested),Tablut-Smith,InfluencePos,71.75
Tawlbwrdd,Ruleset/Cyningstan (Suggested),Tawlbwrdd-Cyningstan,InfluencePos,80.41666666666667
Janggi,,Janggi-,MaterialPos,80.25
Manzhouqi,,Manzhouqi-,MaterialPos,80.0
Qi Guo Xiangxi,,Qi_Guo_Xiangxi-,ScorePos,88.93498476831816
Xiangqi,,Xiangqi-,MaterialPos,85.5
Abrobad,,Abrobad-,CornerProximityPos,98.42105263157895
BlooGo,,BlooGo-,CentreProximityPos,85.78947368421052
Breakback,,Breakback-,MobilitySimpleNeg,50.0
Breakthrough Checkers,,Breakthrough_Checkers-,OwnRegionsCountNeg,96.0
Breakthrough Chess,,Breakthrough_Chess-,MaterialPos,93.52941176470588
Broken Line,,Broken_Line-,CentreProximityPos,96.0
Claustro,,Claustro-,CentreProximityNeg,80.0
Diagonal Hex,,Diagonal_Hex-,CornerProximityPos,70.52631578947368
Ex Nihilo,,Ex_Nihilo-,InfluencePos,58.94736842105263
Faraday,,Faraday-,ScorePos,82.85714285714286
Flowers,,Flowers-,SidesProximityNeg,91.19047619047619
Goats Wintering,,Goats_Wintering-,CornerProximityPos,91.9047619047619
Goldilocks Stones,,Goldilocks_Stones-,ScorePos,95.65217391304348
Ciri Amber,,Ciri_Amber-,ScorePos,99.73684210526316
CrossGeo,,CrossGeo-,MobilitySimplePos,57.0
Ilpion,,Ilpion-,ScorePos,99.75
LastEdge,,LastEdge-,MobilitySimplePos,56.0
Line and Cross,,Line_and_Cross-,ScorePos,91.04166666666667
Nedilmarth,,Nedilmarth-,MobilitySimpleNeg,54.5
OddEvenTree,,OddEvenTree-,MobilitySimplePos,54.5
Onek Rong,,Onek_Rong-,ScorePos,100.0
Radran,,Radran-,NullHeuristicPos,50.0
Windir,,Windir-,CornerProximityPos,50.0
Greater Even Loss,,Greater_Even_Loss-,MobilitySimplePos,96.5
Greater Loss,,Greater_Loss-,MobilitySimplePos,100.0
Greater,,Greater-,MobilitySimplePos,100.0
Greatest Loss,,Greatest_Loss-,NullHeuristicPos,50.0
HexTrike,,HexTrike-,LineCompletionHeuristicPos,64.28571428571429
Hops-a-Daisy Generalized,,Hops-a-Daisy_Generalized-,MaterialPos,95.5
Infuse,,Infuse-,SidesProximityPos,89.0
Inkblots,,Inkblots-,MobilitySimpleNeg,90.52631578947368
Mity,,Mity-,MobilitySimplePos,100.0
Omnidirectional Draughts,,Omnidirectional_Draughts-,SidesProximityPos,96.0
Refugia,,Refugia-,MobilitySimplePos,82.38095238095238
Residuel,,Residuel-,ScorePos,98.5
RootZone,,RootZone-,MobilitySimplePos,98.88888888888889
Throngs,,Throngs-,CornerProximityPos,93.5
Trike,,Trike-,LineCompletionHeuristicPos,60.95238095238095
Tumbleweed,,Tumbleweed-,MobilitySimplePos,100.0
Contagion,,Contagion-,MobilitySimplePos,50.476190476190474
Crossline,,Crossline-,MobilitySimplePos,61.0
DisPath,,DisPath-,ScorePos,92.14285714285714
Dots and Boxes,,Dots_and_Boxes-,ScorePos,91.5909090909091
Hackenbush,,Hackenbush-,MobilitySimplePos,74.16666666666667
MaxMatch,,MaxMatch-,ScorePos,89.11764705882354
Sim,,Sim-,NullHeuristicPos,56.5
Two-Colour,,Two-Colour-,ScorePos,95.0
Wagner,,Wagner-,CornerProximityPos,59.72222222222222
Chopsticks,,Chopsticks-,InfluenceNeg,71.75
Chomp,,Chomp-,MobilitySimplePos,96.81818181818181
Fibonacci Nim,,Fibonacci_Nim-,MobilitySimpleNeg,80.5
Nim,Ruleset/Basic (Described),Nim-,MobilitySimplePos,62.22222222222222
Chess Puzzle,,Chess_Puzzle-,MobilitySimpleNeg,50.0
Safe Passage,,Safe_Passage-,MobilitySimpleNeg,50.0
Shogi Puzzle,,Shogi_Puzzle-,MobilitySimpleNeg,50.0
JulbaharSubgame,,JulbaharSubgame-,LineCompletionHeuristicPos,83.75
MahbousehSubgame,,MahbousehSubgame-,CentreProximityPos,80.0
MughrabiehSubgame,,MughrabiehSubgame-,LineCompletionHeuristicPos,82.77777777777777
