Game,Ruleset,GameRuleset,Top Agent,Top Score
Les Pendus,Ruleset/Les Pendus (Described),Les_Pendus-Les_Pendus,UCT,68.0
Les Pendus,Ruleset/Five in a Row (Described),Les_Pendus-Five_in_a_Row,AlphaBeta,100.0
Liu Tsi,,Liu_Tsi-,MAST,65.5
Marelle Quadruple,,Marelle_Quadruple-,AlphaBeta,99.0
Marelle Triple,,Marelle_Triple-,AlphaBeta,69.0
Mlabalaba,,Mlabalaba-,AlphaBeta,75.0
Morabaraba,,Morabaraba-,AlphaBeta,89.0
Mylna,,Mylna-,AlphaBeta,92.0
Nao Guti,,Nao_Guti-,AlphaBeta,72.0
Nerenchi Keliya,,Nerenchi_Keliya-,AlphaBeta,80.0
Nine Holes,,Nine_Holes-,ProgressiveHistory,75.0
Nine Men's Morris,,Nine_Mens_Morris-,AlphaBeta,93.0
Niranchy,,Niranchy-,MC-GRAVE,62.0
Nzengue (Small),,Nzengue_Small-,MAST,58.5
Order and Chaos,,Order_and_Chaos-,MC-GRAVE,91.0
Pentalath,,Pentalath-,MC-GRAVE,91.0
Pente,,Pente-,AlphaBeta,100.0
Picaria,Ruleset/Zaslavsky 1 (Suggested),Picaria-Zaslavsky_1,MAST,72.5
Picaria,Ruleset/Zaslavsky 2 (Suggested),Picaria-Zaslavsky_2,AlphaBeta,61.0
Pushing Me XO,,Pushing_Me_XO-,AlphaBeta,91.0
Quarto,,Quarto-,UCT,81.5
Quixo,,Quixo-,ProgressiveHistory,81.0
Ringo,,Ringo-,AlphaBeta,70.0
Round Merels,Ruleset/Blumlein (Suggested),Round_Merels-Blumlein,MAST,67.0
Sam K'i,,Sam_Ki-,AlphaBeta,88.0
San-Noku-Narabe,,San-Noku-Narabe-,ProgressiveHistory,79.0
Score Four,,Score_Four-,ProgressiveHistory,80.0
Shah,,Shah-,MAST,69.5
Shisima,,Shisima-,MAST,67.0
Shiva,,Shiva-,AlphaBeta,88.0
Six Insect Game,,Six_Insect_Game-,AlphaBeta,99.5
Six Men's Morris,Ruleset/Murray (Suggested),Six_Mens_Morris-Murray,AlphaBeta,81.5
Six Men's Morris,Ruleset/Cyningstan (Suggested),Six_Mens_Morris-Cyningstan,AlphaBeta,82.5
Six-Penny Madell,,Six-Penny_Madell-,AlphaBeta,88.5
Spline,,Spline-,AlphaBeta,63.0
Squava,,Squava-,MC-GRAVE,82.0
Sujjua,,Sujjua-,AlphaBeta,72.5
Symbol S.2,,Symbol_S.2-,ProgressiveHistory,71.0
Tant Fant,,Tant_Fant-,UCT,66.0
Tapatan,,Tapatan-,AlphaBeta,64.5
Tauru,,Tauru-,AlphaBeta,73.0
Tavan Tal,,Tavan_Tal-,MC-GRAVE,76.0
Three Men's Morris,,Three_Mens_Morris-,AlphaBeta,65.0
Tic-Tac-Chess,,Tic-Tac-Chess-,UCT,73.0
Tic-Tac-Die,,Tic-Tac-Die-,UCT,53.5
Tic-Tac-Four,,Tic-Tac-Four-,UCT,63.52564102564097
Tic-Tac-Mo,,Tic-Tac-Mo-,UCT,63.845486111111114
Tic-Tac-Toe Misere,,Tic-Tac-Toe_Misere-,MAST,73.0
Tic-Tac-Toe,,Tic-Tac-Toe-,AlphaBeta,61.0
Triodi (Chios),,Triodi_Chios-,UCT,69.5
Triodi (Diagonal),,Triodi_Diagonal-,AlphaBeta,86.0
Triodi,,Triodi-,AlphaBeta,99.0
Tuk Tak,,Tuk_Tak-,AlphaBeta,72.0
Tule Paid,,Tule_Paid-,AlphaBeta,78.5
Twelve Men's Morris,Ruleset/With Diagonal (Suggested),Twelve_Mens_Morris-With_Diagonal,UCT,69.0
Twelve Men's Morris,Ruleset/Board Game Geek (Suggested),Twelve_Mens_Morris-Board_Game_Geek,AlphaBeta,81.5
Ultimate Tic-Tac-Toe,,Ultimate_Tic-Tac-Toe-,ProgressiveHistory,75.0
Unfair,,Unfair-,MC-GRAVE,89.0
Wure Dune,,Wure_Dune-,ProgressiveHistory,75.0
Xanan Zirge,,Xanan_Zirge-,AlphaBeta,98.0
Xonin Shatar (Complex),,Xonin_Shatar_Complex-,AlphaBeta,71.5
Xonin Shatar (Simple),,Xonin_Shatar_Simple-,UCT,69.0
Yavalade,,Yavalade-,MC-GRAVE,73.6979166666667
Yavalanchor,,Yavalanchor-,MC-GRAVE,81.0
Yavalath,,Yavalath-,AlphaBeta,88.0
Zurgaan Tal,,Zurgaan_Tal-,MC-GRAVE,75.0
Callanish,,Callanish-,ProgressiveHistory,70.0
Kensington,,Kensington-,AlphaBeta,50.0
Quantik,,Quantik-,AlphaBeta,79.0
Upper Hand,,Upper_Hand-,MC-GRAVE,88.0
Ataxx,,Ataxx-,AlphaBeta,100.0
Dorvolz,,Dorvolz-,AlphaBeta,50.0
Flume,,Flume-,AlphaBeta,96.0
Go,,Go-,AlphaBeta,98.5
Lotus,,Lotus-,MC-GRAVE,98.0
MacBeth,,MacBeth-,MAST,98.0
One-Eyed Go,,One-Eyed_Go-,AlphaBeta,99.0
Patok,,Patok-,MC-GRAVE,99.0
Phantom Go,,Phantom_Go-,MC-GRAVE,65.3125
Reversi,,Reversi-,MAST,78.0
Weiqi,,Weiqi-,AlphaBeta,98.5
Chaturaji,Ruleset/Wikipedia (Suggested),Chaturaji-Wikipedia,AlphaBeta,78.95833333333326
Chaturanga,Ruleset/Manasollasa (Described),Chaturanga-Manasollasa,AlphaBeta,100.0
Chaturanga,Ruleset/Elephant Diagonal Move (Scholarly),Chaturanga-Elephant_Diagonal_Move,AlphaBeta,100.0
Chaturanga,Ruleset/Elephant Diagonal Jump (Scholarly),Chaturanga-Elephant_Diagonal_Jump,AlphaBeta,100.0
Game of the Pawns,,Game_of_the_Pawns-,AlphaBeta,74.0
Hindustani Chess,,Hindustani_Chess-,AlphaBeta,50.0
Mak Ruk,,Mak_Ruk-,AlphaBeta,99.5
Parsi Chess,,Parsi_Chess-,AlphaBeta,100.0
Rumi Shatranj,,Rumi_Shatranj-,AlphaBeta,100.0
Shatranj al-Husun,,Shatranj_al-Husun-,AlphaBeta,100.0
Shatranj al-Kabir,,Shatranj_al-Kabir-,AlphaBeta,89.0
Shatranj al-Mustatila,,Shatranj_al-Mustatila-,MAST,70.0
Shatranj ar-Rumiya,Ruleset/Murray (Described),Shatranj_ar-Rumiya-Murray,AlphaBeta,97.5
Shatranj at-Tamma,,Shatranj_at-Tamma-,AlphaBeta,100.0
Shatranj,,Shatranj-,AlphaBeta,100.0
Shatren,,Shatren-,AlphaBeta,99.0
Shodra,,Shodra-,AlphaBeta,100.0
Sittuyin,,Sittuyin-,AlphaBeta,99.0
Tsatsarandi,,Tsatsarandi-,AlphaBeta,91.5
Acedrex de los Cuatros Tiempos,,Acedrex_de_los_Cuatros_Tiempos-,AlphaBeta,74.9452474813845
Amazon Chess,,Amazon_Chess-,AlphaBeta,100.0
Brusky Chess,,Brusky_Chess-,AlphaBeta,100.0
Capture the Queen,,Capture_the_Queen-,AlphaBeta,100.0
Chess,,Chess-,AlphaBeta,100.0
Chex,,Chex-,ProgressiveHistory,56.25
Currierspiel,,Currierspiel-,AlphaBeta,100.0
De Vasa Chess,,De_Vasa_Chess-,AlphaBeta,100.0
Dice Chess,,Dice_Chess-,MAST,76.0
Double Chess,,Double_Chess-,AlphaBeta,100.0
Glinski Chess,,Glinski_Chess-,AlphaBeta,100.0
Grande Acedrex,Ruleset/Alfonso X (Described),Grande_Acedrex-Alfonso_X,AlphaBeta,100.0
Grande Acedrex,Ruleset/Dice (Described),Grande_Acedrex-Dice,AlphaBeta,84.0
Half Chess,,Half_Chess-,AlphaBeta,99.5
Horde Chess,,Horde_Chess-,AlphaBeta,100.0
Level Chess,,Level_Chess-,AlphaBeta,79.87500000000007
Loop Chess,,Loop_Chess-,AlphaBeta,100.0
Los Alamos Chess,,Los_Alamos_Chess-,AlphaBeta,100.0
Maharajah Chess,,Maharajah_Chess-,AlphaBeta,98.0
McCooey Chess,,McCooey_Chess-,AlphaBeta,100.0
Mini Hexchess,,Mini_Hexchess-,AlphaBeta,100.0
Phase Chess,,Phase_Chess-,AlphaBeta,100.0
Saxun,,Saxun-,AlphaBeta,99.0
Shafran Chess,,Shafran_Chess-,AlphaBeta,100.0
Skirmish (GDL),,Skirmish_GDL-,AlphaBeta,100.0
Social Distance Chess,,Social_Distance_Chess-,AlphaBeta,100.0
Spartan Chess,,Spartan_Chess-,AlphaBeta,100.0
Starchess,,Starchess-,AlphaBeta,100.0
Ultimate Chess,,Ultimate_Chess-,AlphaBeta,100.0
Wellisch Chess,,Wellisch_Chess-,AlphaBeta,94.04761904761905
Ahtarah Guti,,Ahtarah_Guti-,AlphaBeta,100.0
Alquerque,Ruleset/Alfonso X (Described),Alquerque-Alfonso_X,AlphaBeta,99.0
Alquerque,Ruleset/Murray (Suggested),Alquerque-Murray,AlphaBeta,99.5
Alquerque,Ruleset/Covarrubias (Described),Alquerque-Covarrubias,AlphaBeta,100.0
Bara Guti,,Bara_Guti-,AlphaBeta,100.0
Bis Gutiya,,Bis_Gutiya-,AlphaBeta,100.0
Challis Ghutia (Titagarh),Ruleset/Challis Ghutia (Titagarh) (Observed),Challis_Ghutia_Titagarh-,AlphaBeta,100.0
Dablot Prejjesne,,Dablot_Prejjesne-,AlphaBeta,95.5
Dam (Singapore),,Dam_Singapore-,AlphaBeta,100.0
Dam Hariman,,Dam_Hariman-,AlphaBeta,100.0
Ethiopian Capture Game,,Ethiopian_Capture_Game-,AlphaBeta,80.0
Hewakam Keliya,,Hewakam_Keliya-,AlphaBeta,100.0
Kharbaga,,Kharbaga-,AlphaBeta,100.0
Kharberg,,Kharberg-,AlphaBeta,100.0
Kotu Ellima,,Kotu_Ellima-,AlphaBeta,100.0
Lam Pusri,,Lam_Pusri-,AlphaBeta,100.0
Meurimueng-rimueng Peuet Ploh,,Meurimueng-rimueng_Peuet_Ploh-,AlphaBeta,100.0
Mogul Putt'han,Ruleset/Sixteen Pieces (Observed),Mogul_Putthan-Sixteen_Pieces,AlphaBeta,100.0
Mogul Putt'han,Ruleset/Nineteen Pieces (Described),Mogul_Putthan-Nineteen_Pieces,AlphaBeta,100.0
Mughal Pathan,,Mughal_Pathan-,AlphaBeta,100.0
Peralikatuma,,Peralikatuma-,AlphaBeta,100.0
Ratti-Chitti-Bakri,,Ratti-Chitti-Bakri-,AlphaBeta,100.0
Satoel,,Satoel-,AlphaBeta,100.0
Terhuchu,,Terhuchu-,AlphaBeta,95.5
Tuknanavuhpi,,Tuknanavuhpi-,AlphaBeta,100.0
Zamma,,Zamma-,AlphaBeta,100.0
American Pool Checkers,,American_Pool_Checkers-,ProgressiveHistory,88.0
Brazilian Draughts,,Brazilian_Draughts-,UCT,82.5
Cage,,Cage-,AlphaBeta,100.0
Canadian Draughts,,Canadian_Draughts-,ProgressiveHistory,79.0
Coc-Inbert,,Coc-Inbert-,AlphaBeta,81.0
Dam,,Dam-,AlphaBeta,100.0
Dama (Italy),,Dama_Italy-,AlphaBeta,82.5
Dama (Philippines),,Dama_Philippines-,AlphaBeta,99.0
Dama,,Dama-,ProgressiveHistory,73.0
Damas,,Damas-,AlphaBeta,100.0
Damenspiel,,Damenspiel-,UCT,81.0
Damspel,,Damspel-,AlphaBeta,100.0
Diagonal Draughts,,Diagonal_Draughts-,ProgressiveHistory,84.5
Doov,,Doov-,AlphaBeta,100.0
English Draughts,,English_Draughts-,AlphaBeta,81.0
Game of Solomon,,Game_of_Solomon-,MAST,69.5
Guerrilla Checkers,,Guerrilla_Checkers-,AlphaBeta,86.0
HexDame,,HexDame-,AlphaBeta,84.5
International Draughts,,International_Draughts-,UCT,79.0
Jekab,,Jekab-,ProgressiveHistory,79.0
Lasca,,Lasca-,UCT,87.0
Main Dam,,Main_Dam-,UCT,81.5
Makvoer,,Makvoer-,AlphaBeta,100.0
Maleys,,Maleys-,AlphaBeta,88.0
Moo,,Moo-,AlphaBeta,99.0
Pleasant Draughts,,Pleasant_Draughts-,AlphaBeta,100.0
Shashki,,Shashki-,ProgressiveHistory,78.5
Tama,Ruleset/Wikipedia (Suggested),Tama-Wikipedia,ProgressiveHistory,65.5
The Babylonian,,The_Babylonian-,AlphaBeta,100.0
Unnamed Dutch Draughts Game,,Unnamed_Dutch_Draughts_Game-,ProgressiveHistory,84.5
Awithlaknan Mosona,,Awithlaknan_Mosona-,AlphaBeta,100.0
Bara Guti (Bihar),,Bara_Guti_Bihar-,AlphaBeta,99.0
Buudal,,Buudal-,ProgressiveHistory,70.5
Challis Ghutia,,Challis_Ghutia-,AlphaBeta,100.0
Crand,,Crand-,MAST,59.5
Dash Guti,,Dash_Guti-,AlphaBeta,97.0
Egara Guti,,Egara_Guti-,AlphaBeta,99.5
Felli,Ruleset/Board Game Geek (Suggested),Felli-Board_Game_Geek,AlphaBeta,70.5
Felli,Ruleset/Simplified (Suggested),Felli-Simplified,AlphaBeta,78.5
Gol Ekuish,,Gol_Ekuish-,AlphaBeta,100.0
Kaua Dorki,,Kaua_Dorki-,AlphaBeta,88.0
Kolowis Awithlaknannai,,Kolowis_Awithlaknannai-,AlphaBeta,100.0
Konane,,Konane-,MAST,70.0
Koruboddo,,Koruboddo-,AlphaBeta,99.5
Laram Wali,Ruleset/Laram Wali (Observed),Laram_Wali-,AlphaBeta,92.5
Lau Kata Kati,,Lau_Kata_Kati-,AlphaBeta,81.5
Leap Frog,,Leap_Frog-,AlphaBeta,72.0
Natt Klab ash-Shawk,,Natt_Klab_ash-Shawk-,AlphaBeta,98.5
Nei-Pat-Kono,,Nei-Pat-Kono-,AlphaBeta,94.5
Padaivettu,,Padaivettu-,AlphaBeta,100.0
Pam Pait,,Pam_Pait-,AlphaBeta,100.0
Pretwa,,Pretwa-,AlphaBeta,97.5
Ram Tir,,Ram_Tir-,AlphaBeta,99.0
T'oki,,Toki-,AlphaBeta,100.0
Tre Guti,,Tre_Guti-,ProgressiveHistory,69.5
Ad elta stelpur,,Ad_elta_stelpur-,ProgressiveHistory,71.0
At-Tab wa-d-Dukk,Ruleset/at-Tab wa-d-Dukk (Observed),At-Tab_wa-d-Dukk-,MAST,68.0
Atari Go,,Atari_Go-,AlphaBeta,88.0
Awangdu,,Awangdu-,AlphaBeta,89.0
Awithlaknakwe,,Awithlaknakwe-,AlphaBeta,50.0
Bizingo,,Bizingo-,AlphaBeta,99.0
Boseog Gonu,,Boseog_Gonu-,UCT,85.5
Boxijn Barildaan,,Boxijn_Barildaan-,AlphaBeta,97.0
Castello,,Castello-,AlphaBeta,64.5
Choko,,Choko-,AlphaBeta,97.0
Clobber,,Clobber-,MAST,75.0
Daldos,Ruleset/Ostergaard and Gaston (Scholarly),Daldos-Ostergaard_and_Gaston,UCT,70.625
Daldosa,,Daldosa-,UCT,66.25
Fang,,Fang-,AlphaBeta,99.5
Fanorona,,Fanorona-,AlphaBeta,90.5
Gundru,,Gundru-,AlphaBeta,100.0
Ja-Jeon-Geo-Gonu,,Ja-Jeon-Geo-Gonu-,AlphaBeta,60.0
Kriegsspiel,,Kriegsspiel-,UCT,50.0
L'attaque,,Lattaque-,MAST,79.375
Ludus Latrunculorum,Ruleset/Schadler (Scholarly),Ludus_Latrunculorum-Schadler,AlphaBeta,80.0
Ludus Latrunculorum,Ruleset/Museum Quintana (Suggested),Ludus_Latrunculorum-Museum_Quintana,AlphaBeta,100.0
Ludus Latrunculorum,Ruleset/Falkener (Suggested),Ludus_Latrunculorum-Falkener,AlphaBeta,100.0
Ludus Latrunculorum,Ruleset/Kowalski 8x12 (Suggested),Ludus_Latrunculorum-Kowalski_8x12,AlphaBeta,100.0
Ludus Latrunculorum,Ruleset/Kowalski 10x11 (Suggested),Ludus_Latrunculorum-Kowalski_10x11,AlphaBeta,100.0
Ludus Latrunculorum,Ruleset/Bell 8x7 (Suggested),Ludus_Latrunculorum-Bell_8x7,AlphaBeta,86.0
Ludus Latrunculorum,Ruleset/Bell 8x8 (Suggested),Ludus_Latrunculorum-Bell_8x8,MC-GRAVE,79.0
Maak Yek,,Maak_Yek-,AlphaBeta,100.0
Mapuche Game,,Mapuche_Game-,UCT,74.0
Mehen,Ruleset/Kendall (Scholarly),Mehen-Kendall,MAST,66.5
Mini Wars,,Mini_Wars-,AlphaBeta,91.0
Oust,,Oust-,AlphaBeta,100.0
Ploy,,Ploy-,AlphaBeta,99.0
Press Ups,,Press_Ups-,MAST,76.0
Queah Game,,Queah_Game-,MAST,95.0
Seega,Ruleset/Khamsawee (Observed),Seega-Khamsawee,AlphaBeta,95.0
Seega,Ruleset/Sebawee (Observed),Seega-Sebawee,AlphaBeta,98.5
Seega,Ruleset/Tisawee (Observed),Seega-Tisawee,AlphaBeta,97.5
Shantarad,,Shantarad-,UCT,60.0
Shobu,,Shobu-,AlphaBeta,100.0
Sig (Mzab),Ruleset/Sig (Mzab) (Observed),Sig_Mzab-,AlphaBeta,69.0
Sig (Tozeur),,Sig_Tozeur-,ProgressiveHistory,59.5
Sijat El Taba,Ruleset/Sijat El Taba (Described),Sijat_El_Taba-,MAST,71.5
Siryu (War),,Siryu_War-,UCT,65.0
Sumi Naga Game (War),,Sumi_Naga_Game_War-,AlphaBeta,99.0
Surakarta,,Surakarta-,AlphaBeta,99.0
Tablas Astronomias,,Tablas_Astronomias-,MAST,69.1109422492402
Terhuchu (Small),Ruleset/Terhuchu (Small) (Observed),Terhuchu_Small-Terhuchu_Small,AlphaBeta,99.0
Terhuchu (Small),Ruleset/Eight pieces (Observed),Terhuchu_Small-Eight_pieces,AlphaBeta,93.5
Toono,,Toono-,AlphaBeta,84.0
Triad,,Triad-,AlphaBeta,71.92760942760947
Triple Tangle,,Triple_Tangle-,AlphaBeta,100.0
Vela,,Vela-,AlphaBeta,68.5
Xarajlt,,Xarajlt-,MAST,82.0
Yote,,Yote-,AlphaBeta,99.0
Zola,,Zola-,AlphaBeta,100.0
Dice Shogi,,Dice_Shogi-,AlphaBeta,90.0
Hasami Shogi,,Hasami_Shogi-,AlphaBeta,100.0
Kyoto Shogi,,Kyoto_Shogi-,AlphaBeta,99.0
Minishogi,,Minishogi-,AlphaBeta,99.0
Shogi,,Shogi-,AlphaBeta,100.0
Tai Shogi,Ruleset/Wikipedia (Suggested),Tai_Shogi-Wikipedia,AlphaBeta,100.0
Taikyoku Shogi,,Taikyoku_Shogi-,AlphaBeta,100.0
Tobi Shogi,,Tobi_Shogi-,AlphaBeta,99.0
Alea Evangelii,Ruleset/Cyningstan (Suggested),Alea_Evangelii-Cyningstan,AlphaBeta,91.0
ArdRi,,ArdRi-,AlphaBeta,75.0
Brandub,Ruleset/Nielsen (Suggested),Brandub-Nielsen,AlphaBeta,89.0
Breakthru,,Breakthru-,MAST,78.0
HeXentafl,,HeXentafl-,AlphaBeta,96.0
Hnefatafl,Ruleset/Fetlar (Suggested),Hnefatafl-Fetlar,AlphaBeta,90.5
Tablut,Ruleset/Linnaeus (Observed),Tablut-Linnaeus,AlphaBeta,96.0
Tablut,Ruleset/Smith (Suggested),Tablut-Smith,AlphaBeta,96.0
Tawlbwrdd,Ruleset/Cyningstan (Suggested),Tawlbwrdd-Cyningstan,AlphaBeta,96.0
Banqi,,Banqi-,MC-GRAVE,77.5
Janggi,,Janggi-,AlphaBeta,99.5
Manzhouqi,,Manzhouqi-,AlphaBeta,99.0
Qi Guo Xiangxi,,Qi_Guo_Xiangxi-,AlphaBeta,91.08119658119685
Xiangqi,,Xiangqi-,AlphaBeta,97.5
Block,,Block-,MAST,67.1875
Abrobad,,Abrobad-,AlphaBeta,67.0
BlooGo,,BlooGo-,MC-GRAVE,88.0
Breakback,,Breakback-,AlphaBeta,56.0
Breakthrough Checkers,,Breakthrough_Checkers-,MAST,100.0
Breakthrough Chess,,Breakthrough_Chess-,AlphaBeta,100.0
Broken Line,,Broken_Line-,MC-GRAVE,81.0
Claustro,,Claustro-,AlphaBeta,65.0
Diagonal Hex,,Diagonal_Hex-,MC-GRAVE,97.0
Ex Nihilo,,Ex_Nihilo-,UCT,67.0
Faraday,,Faraday-,AlphaBeta,89.0
Flowers,,Flowers-,MC-GRAVE,93.5
Goats Wintering,,Goats_Wintering-,AlphaBeta,97.0
Goldilocks Stones,,Goldilocks_Stones-,MC-GRAVE,86.0
Ciri Amber,,Ciri_Amber-,AlphaBeta,60.0
CrossGeo,,CrossGeo-,UCT,70.0
Ilpion,,Ilpion-,AlphaBeta,61.5
LastEdge,,LastEdge-,UCT,68.0
Line and Cross,,Line_and_Cross-,UCT,60.0
Nedilmarth,,Nedilmarth-,UCT,69.0
Nein Ari,,Nein_Ari-,UCT,100.0
OddEvenTree,,OddEvenTree-,MAST,67.0
Onek Rong,,Onek_Rong-,MC-GRAVE,78.5
Oriath,,Oriath-,UCT,100.0
Radran,,Radran-,MC-GRAVE,51.0
SpanRups,,SpanRups-,UCT,100.0
Windir,,Windir-,AlphaBeta,50.0
Greater Even Loss,,Greater_Even_Loss-,AlphaBeta,72.0
Greater Loss,,Greater_Loss-,AlphaBeta,80.0
Greater,,Greater-,AlphaBeta,70.5
Greatest Loss,,Greatest_Loss-,ProgressiveHistory,60.0
HexTrike,,HexTrike-,UCT,86.0
Hops-a-Daisy Generalized,,Hops-a-Daisy_Generalized-,ProgressiveHistory,71.0
Infuse,,Infuse-,AlphaBeta,92.0
Inkblots,,Inkblots-,UCT,78.0
Mity,,Mity-,AlphaBeta,99.0
Omnidirectional Draughts,,Omnidirectional_Draughts-,MAST,73.5
Refugia,,Refugia-,ProgressiveHistory,65.0
Residuel,,Residuel-,AlphaBeta,89.0
RootZone,,RootZone-,AlphaBeta,76.0
Throngs,,Throngs-,AlphaBeta,100.0
Trike,,Trike-,UCT,90.0
Tumbleweed,,Tumbleweed-,AlphaBeta,100.0
Aksadyuta,Ruleset/Syed (Scholarly),Aksadyuta-Syed,ProgressiveHistory,53.4375
Contagion,,Contagion-,AlphaBeta,52.0
Crossline,,Crossline-,MC-GRAVE,71.0
DisPath,,DisPath-,MC-GRAVE,79.5
Dots and Boxes,,Dots_and_Boxes-,AlphaBeta,100.0
Hackenbush,,Hackenbush-,MAST,73.0
Hamiltonian Maze,,Hamiltonian_Maze-,UCT,0.0
Icosian,,Icosian-,UCT,100.0
MaxMatch,,MaxMatch-,MC-GRAVE,85.5
Sim,,Sim-,MAST,68.0
Two-Colour,,Two-Colour-,MAST,71.5
Wagner,,Wagner-,MAST,58.0
Chopsticks,,Chopsticks-,UCT,66.5
Mastermind,,Mastermind-,UCT,62.5
Chomp,,Chomp-,AlphaBeta,91.0
Fibonacci Nim,,Fibonacci_Nim-,UCT,87.0
Nim,Ruleset/Basic (Described),Nim-,UCT,89.0
BoxOff,,BoxOff-,ProgressiveHistory,100.0
Chase,,Chase-,ProgressiveHistory,84.00000000000001
Chess Puzzle,,Chess_Puzzle-,UCT,60.0
Chuka,,Chuka-,UCT,100.0
Insanity,,Insanity-,UCT,100.0
Jiu Zi Xian Qi,,Jiu_Zi_Xian_Qi-,UCT,100.0
Knight's Tour,,Knights_Tour-,MAST,24.0
Lam Turki,,Lam_Turki-,UCT,0.0
Mawryngkneng Solitaire Game,,Mawryngkneng_Solitaire_Game-,UCT,100.0
Maze,,Maze-,UCT,0.0
Monty Hall Problem,,Monty_Hall_Problem-,UCT,100.0
N Puzzles,,N_Puzzles-,UCT,72.0
Nao Gutiya Baithaneka,,Nao_Gutiya_Baithaneka-,UCT,62.0
Peg Solitaire,Ruleset/European (Described),Peg_Solitaire-European,UCT,0.0
Peg Solitaire,Ruleset/English (Described),Peg_Solitaire-English,UCT,0.0
Pentalpha,,Pentalpha-,UCT,72.0
Safe Passage,,Safe_Passage-,AlphaBeta,0.0
Shisen-Sho,,Shisen-Sho-,MC-GRAVE,14.000000000000002
Shogi Puzzle,,Shogi_Puzzle-,AlphaBeta,60.0
Theseus and the Minotaur,,Theseus_and_the_Minotaur-,MAST,57.99999999999999
Tower of Hanoi,,Tower_of_Hanoi-,UCT,100.0
JulbaharSubgame,,JulbaharSubgame-,UCT,70.5
MahbousehSubgame,,MahbousehSubgame-,MAST,73.0
MughrabiehSubgame,,MughrabiehSubgame-,UCT,73.0
