Game,Ruleset,GameRuleset,Top Agent,Top Score
Huli-Mane Ata,,Huli-Mane_Ata-,AlphaBeta,67.5
Hund efter Hare (Thy),,Hund_efter_Hare_Thy-,AlphaBeta,60.0
Hund efter Hare (Vendsyssel),,Hund_efter_Hare_Vendsyssel-,AlphaBeta,71.0
Jeu de Renard (Two Foxes),,Jeu_de_Renard_Two_Foxes-,AlphaBeta,73.0
Jeu de Renard,,Jeu_de_Renard-,AlphaBeta,75.0
Jeu du Renard et de la Poule,,Jeu_du_Renard_et_de_la_Poule-,AlphaBeta,66.0
Juroku Musashi,Ruleset/Juroku Musashi (Described),Juroku_Musashi-Juroku_Musashi,AlphaBeta,79.5
Juroku Musashi,Ruleset/Tsuboi (Described),Juroku_Musashi-Tsuboi,AlphaBeta,100.0
Kaooa,,Kaooa-,AlphaBeta,60.0
Ko-app-paw-na,,Ko-app-paw-na-,AlphaBeta,97.0
Komikan,Ruleset/Araucania (Observed),Komikan-Araucania,MAST,52.5
Komikan,Ruleset/MapuChess (Described),Komikan-MapuChess,AlphaBeta,64.5
Koti Keliya,,Koti_Keliya-,AlphaBeta,57.0
Kulaochal,,Kulaochal-,AlphaBeta,61.0
Len Cua Kin Ngoa,,Len_Cua_Kin_Ngoa-,AlphaBeta,64.0
Main Tapak Empat,,Main_Tapak_Empat-,UCT,61.0
Manu,,Manu-,AlphaBeta,83.0
Mao Naga Tiger Game,,Mao_Naga_Tiger_Game-,AlphaBeta,86.5
Merimueng-rimueng-do,,Merimueng-rimueng-do-,AlphaBeta,95.5
Merimueng-rimueng,,Merimueng-rimueng-,AlphaBeta,73.0
Musinaykahwhanmetowaywin,,Musinaykahwhanmetowaywin-,AlphaBeta,77.0
Mysore Tiger Game (Three Tigers),,Mysore_Tiger_Game_Three_Tigers-,AlphaBeta,96.0
Mysore Tiger Game (Two Tigers),,Mysore_Tiger_Game_Two_Tigers-,AlphaBeta,79.5
Mysore Tiger Game,,Mysore_Tiger_Game-,UCT,69.0
Neg Tugal Tuux,,Neg_Tugal_Tuux-,AlphaBeta,70.0
Nuktagaq,,Nuktagaq-,AlphaBeta,95.0
Orissa Tiger Game (Four Tigers),,Orissa_Tiger_Game_Four_Tigers-,AlphaBeta,100.0
Orissa Tiger Game (One Tiger),,Orissa_Tiger_Game_One_Tiger-,AlphaBeta,74.5
Pon Chochotl,Ruleset/Murray (Suggested),Pon_Chochotl-Murray,AlphaBeta,75.0
Pulijudamu,,Pulijudamu-,AlphaBeta,67.0
Refskak,,Refskak-,AlphaBeta,95.5
Renard et les Poules,Ruleset/Renard et les Poules (Described),Renard_et_les_Poules-Renard_et_les_Poules,MAST,81.0
Renard et les Poules,Ruleset/Orthogonal Fox (Described),Renard_et_les_Poules-Orthogonal_Fox,AlphaBeta,90.5
Renard et les Poules,Ruleset/Orthogonal Fox Diagonal Capture (Described),Renard_et_les_Poules-Orthogonal_Fox_Diagonal_Capture,MAST,63.0
Rimau-Rimau (One Tiger),,Rimau-Rimau_One_Tiger-,AlphaBeta,80.0
Rimau-Rimau (Two Tigers),Ruleset/Rimau-Rimau (Two Tigers) (Observed),Rimau-Rimau_Two_Tigers-Rimau-Rimau_Two_Tigers,AlphaBeta,94.5
Rimau-Rimau (Two Tigers),Ruleset/Tigers on Central Point (Observed),Rimau-Rimau_Two_Tigers-Tigers_on_Central_Point,AlphaBeta,88.5
Rimoe,Ruleset/Rimoe (Observed),Rimoe-Rimoe,AlphaBeta,79.5
Rimoe,Ruleset/Two Rimoe (Observed),Rimoe-Two_Rimoe,AlphaBeta,95.5
Sher Bakar,,Sher_Bakar-,AlphaBeta,83.0
Sher Bakr,,Sher_Bakr-,UCT,75.0
Shi Liu Kan Tsiang Kun,,Shi_Liu_Kan_Tsiang_Kun-,ProgressiveHistory,61.5
Shui Yen Ho-Shang,,Shui_Yen_Ho-Shang-,AlphaBeta,70.0
Sumi Naga Game (Hunt),,Sumi_Naga_Game_Hunt-,AlphaBeta,98.5
Three Musketeers,,Three_Musketeers-,AlphaBeta,82.0
Uxrijn Ever,,Uxrijn_Ever-,AlphaBeta,75.5
