Games;Bao Ki Arabu (Zanzibar 1);Bao Ki Arabu (Zanzibar 2);Hawalis;Hus (Damara);Mefuvha;Muvalavala (Luena);Owela (Benguela);Abalala'e;Ako Okwe;Alitev;Aw-li On-nam Ot-tjin;Bosh;Dabuda;Das Bohnenspiel;En Gehe;English Wari (St, Lucia);French Wari;Halusa;J'odu;Kalah;Kara;Mangala (Turkey);Mbangbi;Meusueb;Oware;Sungka;Toguz Kumalak;Um el Tuweisat;Um el-Bagara;Unnee Tugalluulax;Vai Lung Thlan;Waurie;Woli;Wore;Wouri;Yovodji
Aw-li On-nam Ot-tjin;0,2139;0,1711;0,1566;0,2029;0,2105;0,2088;0,2091;0,2434;0,1809;0,1002;0;0,1396;0,1886;0,0982;0,1153;0,1709;0,1116;0,0886;0,1059;0,1112;0,0778;0,109;0,1146;0,1277;0,1212;0,1481;0,1273;0,1331;0,1496;0,0952;0,1154;0,1798;0,1212;0,1139;0,1083;0,1429
Bosh;0,2145;0,1818;0,1874;0,1614;0,2046;0,2061;0,1679;0,2438;0,1908;0,1219;0,1396;0;0,1794;0,1133;0,1089;0,136;0,1124;0,1168;0,115;0,1308;0,1172;0,12;0,1234;0,0473;0,1516;0,1587;0,1802;0,1487;0,1578;0,1139;0,1219;0,1745;0,1575;0,1075;0,1146;0,1504
Dabuda;0,163;0,1534;0,1508;0,176;0,1575;0,1557;0,1869;0,1855;0,2167;0,2124;0,1886;0,1794;0;0,1708;0,1276;0,1875;0,1386;0,1767;0,1446;0,1515;0,1772;0,2091;0,1868;0,1515;0,2034;0,1756;0,1805;0,1846;0,171;0,1958;0,2292;0,2727;0,2077;0,2103;0,1436;0,1564
Das Bohnenspiel;0,2151;0,1646;0,1538;0,2059;0,2163;0,1591;0,2128;0,1893;0,187;0,0535;0,0982;0,1133;0,1708;0;0,1107;0,1357;0,0565;0,0434;0,0627;0,0715;0,0674;0,0845;0,0898;0,0831;0,0891;0,1136;0,171;0,128;0,1178;0,0367;0,0512;0,1175;0,0913;0,0564;0,0835;0,1141
En Gehe;0,1636;0,1448;0,1463;0,1687;0,1574;0,1568;0,1747;0,1826;0,1721;0,127;0,1153;0,1089;0,1276;0,1107;0;0,1729;0,0768;0,099;0,0747;0,0841;0,1016;0,1293;0,143;0,0813;0,1317;0,1097;0,1411;0,1343;0,1566;0,1072;0,1312;0,1831;0,1375;0,1144;0,0778;0,1055
English Wari (St, Lucia);0,23;0,2073;0,2106;0,2192;0,2308;0,189;0,2253;0,2412;0,1934;0,1468;0,1709;0,136;0,1875;0,1357;0,1729;0;0,1506;0,1314;0,1522;0,1534;0,1372;0,1597;0,1197;0,1296;0,1434;0,1829;0,191;0,15;0,1483;0,1454;0,1567;0,234;0,1494;0,1313;0,1302;0,1472
French Wari;0,1826;0,1535;0,1598;0,1825;0,1803;0,1115;0,1885;0,1404;0,193;0,0847;0,1116;0,1124;0,1386;0,0565;0,0768;0,1506;0;0,0612;0,024;0,0483;0,0856;0,1222;0,1199;0,0582;0,1012;0,0768;0,1613;0,1417;0,1482;0,0547;0,0878;0,1351;0,1017;0,0867;0,0553;0,0748
Halusa;0,2182;0,176;0,1591;0,2047;0,2158;0,1682;0,2115;0,1958;0,173;0,0611;0,0886;0,1168;0,1767;0,0434;0,099;0,1314;0,0612;0;0,0524;0,0598;0,0626;0,0889;0,1074;0,0837;0,066;0,094;0,136;0,1127;0,1243;0,0492;0,062;0,1238;0,0623;0,0796;0,0643;0,0983
J'odu;0,1771;0,1484;0,1547;0,1778;0,1759;0,1148;0,1838;0,1458;0,1884;0,093;0,1059;0,115;0,1446;0,0627;0,0747;0,1522;0,024;0,0524;0;0,053;0,0862;0,1278;0,125;0,063;0,0944;0,0798;0,1632;0,1473;0,155;0,0603;0,0927;0,1331;0,0956;0,0928;0,0437;0,0806
Kalah;0,1883;0,166;0,1543;0,1877;0,179;0,1198;0,1938;0,1422;0,1701;0,0947;0,1112;0,1308;0,1515;0,0715;0,0841;0,1534;0,0483;0,0598;0,053;0;0,081;0,1332;0,1301;0,0822;0,1013;0,0438;0,1357;0,1205;0,1436;0,0653;0,0938;0,1113;0,1018;0,0899;0,0672;0,0772
Kara;0,2142;0,1546;0,1422;0,2011;0,2098;0,1938;0,2079;0,2151;0,1751;0,0703;0,0778;0,1172;0,1772;0,0674;0,1016;0,1372;0,0856;0,0626;0,0862;0,081;0;0,082;0,0853;0,0953;0,0873;0,1241;0,1386;0,0874;0,1113;0,0667;0,0969;0,1325;0,0948;0,0784;0,0827;0,1116
Mangala (Turkey);0,2395;0,1595;0,1457;0,2291;0,2432;0,2391;0,236;0,2635;0,18;0,0392;0,109;0,12;0,2091;0,0845;0,1293;0,1597;0,1222;0,0889;0,1278;0,1332;0,082;0;0,0816;0,121;0,1187;0,167;0,1737;0,1375;0,1159;0,0809;0,0718;0,1433;0,1187;0,0721;0,1337;0,1571
Mbangbi;0,2114;0,1804;0,1749;0,2109;0,2419;0,2186;0,2422;0,2561;0,1698;0,0823;0,1146;0,1234;0,1868;0,0898;0,143;0,1197;0,1199;0,1074;0,125;0,1301;0,0853;0,0816;0;0,1231;0,1239;0,1733;0,1766;0,1449;0,1058;0,0836;0,098;0,1608;0,1316;0,0696;0,1288;0,1529
Meusueb;0,1873;0,1694;0,1733;0,1533;0,1783;0,1591;0,1595;0,172;0,1757;0,0994;0,1277;0,0473;0,1515;0,0831;0,0813;0,1296;0,0582;0,0837;0,063;0,0822;0,0953;0,121;0,1231;0;0,1202;0,091;0,1621;0,1373;0,1481;0,0809;0,0995;0,1473;0,1259;0,0868;0,069;0,1012
Oware;0,2305;0,2005;0,1902;0,2302;0,2348;0,1987;0,2364;0,2192;0,1891;0,0944;0,1212;0,1516;0,2034;0,0891;0,1317;0,1434;0,1012;0,066;0,0944;0,1013;0,0873;0,1187;0,1239;0,1202;0;0,136;0,1711;0,1252;0,1304;0,0755;0,1167;0,169;0,0094;0,1028;0,0866;0,0452
Sungka;0,1816;0,1768;0,172;0,1854;0,1774;0,1265;0,1912;0,1307;0,1808;0,1283;0,1481;0,1587;0,1756;0,1136;0,1097;0,1829;0,0768;0,094;0,0798;0,0438;0,1241;0,167;0,1733;0,091;0,136;0;0,1656;0,1572;0,1849;0,1072;0,1205;0,1409;0,1305;0,1303;0,1009;0,098
Toguz Kumalak;0,2265;0,2067;0,191;0,2175;0,21;0,2214;0,2232;0,2414;0,0994;0,1678;0,1273;0,1802;0,1805;0,171;0,1411;0,191;0,1613;0,136;0,1632;0,1357;0,1386;0,1737;0,1766;0,1621;0,1711;0,1656;0;0,1484;0,1777;0,1656;0,1859;0,2476;0,1711;0,1763;0,1458;0,1608
